OTU,Abundance,Gut_Subsection
Otu00002,0.34231,GI_1
Otu00002,0.478675,GI_2
Otu00002,0.218704,GI_3
Otu00002,0.216576,GI_4
Otu00002,0.131896,HG_1
Otu00002,0.153504,HG_2
Otu00002,0.119876,HG_3
Otu00004,0.06658,GI_1
Otu00004,0.002715,GI_2
Otu00004,0.000324,GI_3
Otu00004,0.000608,GI_4
Otu00004,0.00042,HG_1
Otu00004,0.000252,HG_2
Otu00004,0.00024,HG_3
Otu00005,0.051875,GI_1
Otu00005,0.1333,GI_2
Otu00005,0.162552,GI_3
Otu00005,0.076336,GI_4
Otu00005,0.043408,HG_1
Otu00005,0.038436,HG_2
Otu00005,0.028812,HG_3
Otu00007,0.00076,GI_1
Otu00007,0.000145,GI_2
Otu00007,0,GI_3
Otu00007,0,GI_4
Otu00007,0.00014,HG_1
Otu00007,0,HG_2
Otu00007,0,HG_3
Otu00012,0.014975,GI_1
Otu00012,1.50E-05,GI_2
Otu00012,0.00998,GI_3
Otu00012,0.001156,GI_4
Otu00012,0.000788,HG_1
Otu00012,0.000436,HG_2
Otu00012,5.00E-04,HG_3
Otu00015,0.26643,GI_1
Otu00015,0.127745,GI_2
Otu00015,0.042176,GI_3
Otu00015,0.03174,GI_4
Otu00015,0.015772,HG_1
Otu00015,0.01878,HG_2
Otu00015,0.014788,HG_3
Otu00016,0.045885,GI_1
Otu00016,0.097635,GI_2
Otu00016,0.115396,GI_3
Otu00016,0.088168,GI_4
Otu00016,0.008352,HG_1
Otu00016,0.009752,HG_2
Otu00016,0.002544,HG_3
Otu00017,0.019525,GI_1
Otu00017,0.019835,GI_2
Otu00017,0.011808,GI_3
Otu00017,0.008856,GI_4
Otu00017,0.0122,HG_1
Otu00017,0.038468,HG_2
Otu00017,0.024892,HG_3
Otu00019,0.006115,GI_1
Otu00019,0.00798,GI_2
Otu00019,0.051376,GI_3
Otu00019,0.04444,GI_4
Otu00019,0.0319,HG_1
Otu00019,0.050368,HG_2
Otu00019,0.04644,HG_3
Otu00021,0.0266,GI_1
Otu00021,0.02998,GI_2
Otu00021,0.072192,GI_3
Otu00021,0.113228,GI_4
Otu00021,0.090928,HG_1
Otu00021,0.069288,HG_2
Otu00021,0.091604,HG_3
Otu00024,0.041575,GI_1
Otu00024,0.00013,GI_2
Otu00024,0.01354,GI_3
Otu00024,0.019532,GI_4
Otu00024,0.02752,HG_1
Otu00024,0.021412,HG_2
Otu00024,0.030196,HG_3
Otu00025,0.009685,GI_1
Otu00025,0.013345,GI_2
Otu00025,0.067272,GI_3
Otu00025,0.096964,GI_4
Otu00025,0.122748,HG_1
Otu00025,0.121096,HG_2
Otu00025,0.139772,HG_3
Otu00027,4.00E-04,GI_1
Otu00027,0.011065,GI_2
Otu00027,0.065308,GI_3
Otu00027,0.076744,GI_4
Otu00027,0.024872,HG_1
Otu00027,0.018604,HG_2
Otu00027,0.007584,HG_3
Otu00040,0.002455,GI_1
Otu00040,0.00034,GI_2
Otu00040,0.00078,GI_3
Otu00040,0.009124,GI_4
Otu00040,0.037112,HG_1
Otu00040,0.038332,HG_2
Otu00040,0.055244,HG_3
Otu00042,0.013065,GI_1
Otu00042,0.01153,GI_2
Otu00042,0.0468,GI_3
Otu00042,0.03832,GI_4
Otu00042,0.010804,HG_1
Otu00042,0.007332,HG_2
Otu00042,0.009048,HG_3
Otu00047,0.0132,GI_1
Otu00047,0.00264,GI_2
Otu00047,0.02438,GI_3
Otu00047,0.089232,GI_4
Otu00047,0.214172,HG_1
Otu00047,0.196196,HG_2
Otu00047,0.202772,HG_3
Otu00059,0.00366,GI_1
Otu00059,0.005025,GI_2
Otu00059,0.005176,GI_3
Otu00059,0.00596,GI_4
Otu00059,0.032416,HG_1
Otu00059,0.026924,HG_2
Otu00059,0.021556,HG_3
Otu00062,0.00034,GI_1
Otu00062,6.00E-05,GI_2
Otu00062,0.000328,GI_3
Otu00062,0.004048,GI_4
Otu00062,0.027428,HG_1
Otu00062,0.027828,HG_2
Otu00062,0.02782,HG_3
Otu00074,0.000405,GI_1
Otu00074,5.00E-06,GI_2
Otu00074,2.40E-05,GI_3
Otu00074,0.000244,GI_4
Otu00074,0.005128,HG_1
Otu00074,0.011776,HG_2
Otu00074,0.011516,HG_3
Otu00075,0.000945,GI_1
Otu00075,7.50E-05,GI_2
Otu00075,0,GI_3
Otu00075,0,GI_4
Otu00075,0,HG_1
Otu00075,0,HG_2
Otu00075,0,HG_3
Otu00087,0.001935,GI_1
Otu00087,2.50E-05,GI_2
Otu00087,6.40E-05,GI_3
Otu00087,0.001568,GI_4
Otu00087,0.014328,HG_1
Otu00087,0.012144,HG_2
Otu00087,0.011992,HG_3
Otu00088,0.005575,GI_1
Otu00088,0.00705,GI_2
Otu00088,0.020756,GI_3
Otu00088,0.0023,GI_4
Otu00088,0.002808,HG_1
Otu00088,0.002808,HG_2
Otu00088,6.00E-04,HG_3
Otu00111,0.00057,GI_1
Otu00111,3.50E-05,GI_2
Otu00111,0.000168,GI_3
Otu00111,0.00094,GI_4
Otu00111,0.00426,HG_1
Otu00111,0.004512,HG_2
Otu00111,0.005616,HG_3
Otu00113,4.00E-05,GI_1
Otu00113,0,GI_2
Otu00113,8.40E-05,GI_3
Otu00113,0.000856,GI_4
Otu00113,0.004352,HG_1
Otu00113,0.004716,HG_2
Otu00113,0.006736,HG_3
Otu00120,0.00056,GI_1
Otu00120,1.50E-05,GI_2
Otu00120,0,GI_3
Otu00120,0.009116,GI_4
Otu00120,0.005544,HG_1
Otu00120,0.001672,HG_2
Otu00120,0.003232,HG_3
Otu00132,0,GI_1
Otu00132,0,GI_2
Otu00132,0,GI_3
Otu00132,0.000124,GI_4
Otu00132,0.004828,HG_1
Otu00132,0.00398,HG_2
Otu00132,0.003512,HG_3
Otu00133,0.00167,GI_1
Otu00133,0.008225,GI_2
Otu00133,0.009932,GI_3
Otu00133,0.00328,GI_4
Otu00133,0.001952,HG_1
Otu00133,0.001396,HG_2
Otu00133,0.002216,HG_3
Otu00141,0.00302,GI_1
Otu00141,8.50E-05,GI_2
Otu00141,0.00022,GI_3
Otu00141,0.001948,GI_4
Otu00141,0.017724,HG_1
Otu00141,0.017836,HG_2
Otu00141,0.023276,HG_3
Otu00148,0.000345,GI_1
Otu00148,3.50E-05,GI_2
Otu00148,5.20E-05,GI_3
Otu00148,0.000444,GI_4
Otu00148,0.002492,HG_1
Otu00148,0.00214,HG_2
Otu00148,0.002396,HG_3
Otu00151,0.00028,GI_1
Otu00151,0,GI_2
Otu00151,1.60E-05,GI_3
Otu00151,0.000112,GI_4
Otu00151,0.001768,HG_1
Otu00151,0.00156,HG_2
Otu00151,0.001376,HG_3
Otu00156,5.00E-05,GI_1
Otu00156,1.50E-05,GI_2
Otu00156,8.00E-05,GI_3
Otu00156,0.000572,GI_4
Otu00156,0.00876,HG_1
Otu00156,0.008036,HG_2
Otu00156,0.007116,HG_3
Otu00169,0.002015,GI_1
Otu00169,0.011585,GI_2
Otu00169,0.017188,GI_3
Otu00169,0.005616,GI_4
Otu00169,6.00E-05,HG_1
Otu00169,2.40E-05,HG_2
Otu00169,0,HG_3
Otu00199,0,GI_1
Otu00199,0,GI_2
Otu00199,0,GI_3
Otu00199,7.60E-05,GI_4
Otu00199,0.00078,HG_1
Otu00199,0.002684,HG_2
Otu00199,0.001748,HG_3
Otu00224,0,GI_1
Otu00224,0.000415,GI_2
Otu00224,0.001688,GI_3
Otu00224,0.002012,GI_4
Otu00224,0.007044,HG_1
Otu00224,0.006464,HG_2
Otu00224,0.005592,HG_3
Otu00230,0.0042,GI_1
Otu00230,0.00951,GI_2
Otu00230,0.004616,GI_3
Otu00230,0.003688,GI_4
Otu00230,0.000432,HG_1
Otu00230,0.000452,HG_2
Otu00230,0.000596,HG_3
Otu00236,0.00032,GI_1
Otu00236,0.001075,GI_2
Otu00236,0,GI_3
Otu00236,2.80E-05,GI_4
Otu00236,2.40E-05,HG_1
Otu00236,2.00E-05,HG_2
Otu00236,0,HG_3
Otu00238,0.00034,GI_1
Otu00238,0.00095,GI_2
Otu00238,0.002164,GI_3
Otu00238,0.003624,GI_4
Otu00238,0.008824,HG_1
Otu00238,0.007992,HG_2
Otu00238,0.007448,HG_3
Otu00245,3.50E-05,GI_1
Otu00245,0,GI_2
Otu00245,0,GI_3
Otu00245,0.000152,GI_4
Otu00245,0.005984,HG_1
Otu00245,0.006336,HG_2
Otu00245,0.007576,HG_3
Otu00266,0,GI_1
Otu00266,0,GI_2
Otu00266,0,GI_3
Otu00266,0,GI_4
Otu00266,0,HG_1
Otu00266,1.60E-05,HG_2
Otu00266,0,HG_3
Otu00277,0.00033,GI_1
Otu00277,0.00286,GI_2
Otu00277,0.000616,GI_3
