"","Vibrionaceae_unclassified_Otu00003","Pasteurellaceae_unclassified_Otu00004","Turicibacter_Otu00005","Peptostreptococcaceae_unclassified_Otu00015","Desulfovibrio_Otu00019","Ruminococcaceae_unclassified_Otu00025","DMI_ge_Otu00027","Peptostreptococcaceae_unclassified_Otu00032","Akkermansia_Otu00040","Alistipes_Otu00047","Akkermansia_Otu00057","Alistipes_Otu00058","Bacteria_unclassified_Otu00059","Ruminococcaceae_unclassified_Otu00061","Clostridiales_vadinBB60_group_ge_Otu00062","Lachnospiraceae_unclassified_Otu00063","Ruminiclostridium_5_Otu00069","Lachnospiraceae_unclassified_Otu00072","Ruminococcaceae_ge_Otu00079","Clostridiaceae_1_unclassified_Otu00081","DMI_ge_Otu00082","Alistipes_Otu00083","Victivallaceae_ge_Otu00087","Rikenellaceae_unclassified_Otu00089","dgA-11_gut_group_Otu00090","Ruminococcaceae_unclassified_Otu00091","Peptostreptococcaceae_unclassified_Otu00092","Alistipes_Otu00094","Ruminococcaceae_unclassified_Otu00095","Alistipes_Otu00097","Brevinema_Otu00100","Alistipes_Otu00104","Vibrionaceae_unclassified_Otu00107","Akkermansia_Otu00108","Christensenellaceae_R-7_group_Otu00111","Ruminococcaceae_unclassified_Otu00118","GCA-900066225_Otu00122","Alistipes_Otu00131","Paludibacteraceae_unclassified_Otu00132","Parabasalia_unclassified_Otu00133","Clostridiales_vadinBB60_group_ge_Otu00134","Alistipes_Otu00135","Ruminococcaceae_unclassified_Otu00137","Tyzzerella_Otu00139","Lachnospiraceae_unclassified_Otu00140","Bacteroidales_unclassified_Otu00141","uncultured_ge_Otu00156","Clostridiales_vadinBB60_group_ge_Otu00157","Alistipes_Otu00159","DMI_ge_Otu00162","Alistipes_Otu00165","Alistipes_Otu00166","Rikenellaceae_unclassified_Otu00188","Ruminococcaceae_unclassified_Otu00192","Alistipes_Otu00194","Ruminococcaceae_unclassified_Otu00204","Lachnospiraceae_unclassified_Otu00207","uncultured_Otu00257","Eggerthellaceae_unclassified_Otu00395","X","SampleCode","Sample_Type_Broad","RobCode","Fish_Number","Species","Gut_Section","Gut_SubSection","Culture_Media","Ranked_Gut_SubSection_Distance_from_Stomach"
"F4_GI_1",0.0623,0.12424,0.06088,0.04026,6e-05,2e-05,0,0.01964,0.00012,0,0,0,8e-05,0,0,0,0,0,0,0.00064,0,0,6e-05,4e-05,0,0,0.00596,0,0,0,0.00432,0,0.00822,0,0,0.00116,4e-04,0.00042,0,0.00278,0,0,0,0.00076,0.00214,0,0,0,0,0,0.00032,0,0,0.00046,0,0,0,0.00048,0,12,"F4_GI_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2
"F4_GI_2",0.0863,0.0086,0.06268,0.0698,0,0,0.00056,0.0086,0,0,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.00272,0,0,0,0.01846,0,0.01406,0,0,0.0059,0.00366,0.00254,0,0.0143,0,0,0,0.00286,0.00494,0,0,0,0,0,0.00096,0,0,0.00188,0,0,0,0.00244,0,13,"F4_GI_2","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3
"F4_GI_3",0.04314,0.00052,0.1011,0.03748,0,0,0.00836,0.0071,0,0,0,0,0,0,0,0,0,0,0,0.00232,0.00056,0,0,0,0,0,0.00078,0,0,0,0.02564,0,0.00592,0,0,0.00248,0.00374,0.0063,0,0.01192,0,0,0,0.00142,0.00476,0,0,0,0,0.00154,0.00324,0.00036,0.00028,0.00092,0,0,0,0.00276,0,14,"F4_GI_3","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4
"F4_GI_4",0.02086,0.00014,0.1153,0.04722,0,0,0.01578,0.0071,0,0,0,0,0,0,0,0,0,0,0,0.00292,0.00054,0,0,0,0,0,7e-04,0,0,0,0.01568,0,0.00578,0,0,0.00522,0.00316,0.00776,0,0.0078,0,0,0,0.01186,0.01362,0,0,0,0,0.00168,0.00344,0.00088,0.00264,0.00234,0,0,0,0.00156,0,15,"F4_GI_4","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5
"F4_HG_1",0.0055,0,0.0439,0.01216,0.0107,0.03982,0.02136,0.0014,0.01018,0.0214,0.0011,0.00128,0.02304,0.00812,0.0131,0.00318,0.00634,0,0.01348,0.00028,0.00048,0.01026,0.00812,0.00818,0.00156,0.00524,0,0.0074,0.0038,0.01572,0.00458,0.00998,0.00154,0.00126,0.00092,0.00088,7e-04,0.00924,0.00286,0,0.00442,0.00322,0.00444,0.00094,0.00368,0.0044,0.00172,0,0.0097,0.00084,0.00458,0.00124,0.00274,0,0.00106,0.00036,0.00256,0.00036,0.00224,16,"F4_HG_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6
"F4_HG_2",0.00468,0,0.04702,0.00996,0.0137,0.03818,0.02266,0.00156,0.00852,0.01676,0.00114,0.00126,0.01814,0.00818,0.0092,0.00286,0.00518,0,0.0135,2e-04,0,0.00968,0.00536,0.00548,0.00146,0.00468,0,0.007,0.00392,0.01222,0.00482,0.00774,0.00248,0.00144,7e-04,0.0013,0.00058,0.00848,0.00176,0,0.00242,0.00248,0.0056,0.001,0.00324,0.00286,0.00188,0,0.0071,0.00064,0.00466,0.00166,0.00288,0,0.00126,0,0.00218,0.00044,0.00304,17,"F4_HG_2","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7
"F4_HG_3",0.00172,0.00056,0.00506,0.00304,0.05154,0.03904,0.00384,0.00022,0.0169,0.01854,0.0022,0.00214,0.0192,0.01084,0.01944,0.0052,0.00708,0,0.01732,0.00016,0,0.01528,0.00948,0.00698,0.00194,0.00876,0,0.01792,0.00644,0.02146,0.00078,0.01118,0.00082,0.00256,0.0016,0.00058,0,0.00126,0.00194,0,0.0027,0.00464,0.0146,0,0.00054,0.00932,0.00232,0,0.0112,0,0.00056,0,0.00032,0,0.0025,0,0.00358,0,0.01102,18,"F4_HG_3","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8
"F5_GI_1",0.19562,0.13688,0.0248,0.30868,3e-04,0.00296,6e-04,0.01038,0.00186,0.00174,0.00168,0,0,0.00064,0,0.0019,0,0.00064,0,0.00142,0,0,0,0.00054,0,0.00126,0.0539,0.00084,0.00042,0,0.00172,0.00082,0.002,0.00062,0.00076,0.00054,0.00156,0,0,0.00254,0.00036,0,0,0,0,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0,21,"F5_GI_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2
"F5_GI_2",0.32708,4e-04,0.11564,0.01962,0.00034,0.00032,0.0142,0.03434,0.00026,0.00018,0,0,2e-04,6e-05,4e-05,0,8e-05,0,0,0.00506,0,0,4e-05,8e-05,0,0.00012,0.02168,0,6e-05,0,0.0064,0,0.01284,0,0,0.00272,0.00268,0.00106,0,0.01132,0,0,0,0.00156,0.00394,0,0,2e-05,0,0.00216,2e-05,0.00044,0.00028,0.00132,0,0,0,0.00076,0,22,"F5_GI_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3
"F5_GI_3",0.2684,0,0.04892,0.0025,0.00198,0.0076,0.01114,0.01652,0.00208,0.00132,7e-04,0.00024,0.0013,0.00312,0.00086,0.0019,0.00158,0.00156,0.00046,0.00306,0,0,0.00032,0.00096,0.00072,0.0013,0.00384,0.00186,0.0016,0,0.0215,0.00116,0.00536,0.00016,0.00084,0.00274,0.01524,0.00102,0,0.0174,0,0.00028,0.00052,0.00434,0.00764,0,0.00038,0.00018,0.00026,0.00128,4e-05,0.00062,0.00116,0.00176,0,0,0,0.0025,0,23,"F5_GI_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4
"F5_GI_4",0.3275,0,0.04756,0.00168,0.00842,0.02174,0.0116,0.01126,0.00598,0.00456,0.00194,0.00026,0.00432,0.00958,0.00336,0.00522,0.00478,0.00606,0.0011,0.00286,1e-04,0,0.00208,0.00312,0.00246,0.0054,0.00218,0.00454,0.00698,0.00136,0.0042,0.0027,0.00618,0.00054,0.00286,0.00132,0.00466,0.00064,0,0.00242,0.00068,0.0012,0.00144,0.00426,0.00636,0.00014,0.00124,0.00054,0.00072,0.001,3e-04,0.00038,0.0013,0.00086,9e-04,0,0.00028,0.00116,6e-05,24,"F5_GI_4","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5
