"","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F4_STOM","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F5_STOM","F8_GI_1","F8_GI_2","F8_GI_3","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3","F8_STOM"
"F4_GI_1",0,0.315056,0.281799,0.328609,0.594707,0.518541,0.637229,0.552739,0.433803,0.295889,0.407864,0.431293,0.678088,0.696742,0.724444,0.441819,0.399834,0.50167,0.462087,0.553837,0.759453,0.73128,0.817584,0.610359
"F4_GI_2",0.315056,0,0.107563,0.169491,0.591342,0.54558,0.646892,0.73846,0.529504,0.287567,0.269773,0.469466,0.663056,0.681319,0.706962,0.585084,0.52584,0.514274,0.303225,0.526169,0.720649,0.712289,0.799611,0.632278
"F4_GI_3",0.281799,0.107563,0,0.126335,0.566571,0.494604,0.618795,0.723172,0.53969,0.253568,0.269455,0.430781,0.652235,0.672091,0.698828,0.564984,0.49369,0.502061,0.305525,0.486254,0.705801,0.696157,0.789217,0.629314
"F4_GI_4",0.328609,0.169491,0.126335,0,0.504767,0.465504,0.580119,0.748963,0.545291,0.243569,0.258137,0.41211,0.59646,0.619069,0.644959,0.569058,0.537689,0.484089,0.290601,0.398766,0.656895,0.646056,0.740694,0.653147
"F4_HG_1",0.594707,0.591342,0.566571,0.504767,0,0.097176,0.143638,0.764642,0.587718,0.566315,0.525032,0.372569,0.257926,0.246007,0.310298,0.459462,0.603942,0.585428,0.594261,0.438497,0.287947,0.262749,0.320084,0.647015
"F4_HG_2",0.518541,0.54558,0.494604,0.465504,0.097176,0,0.16905,0.733743,0.558432,0.515922,0.478598,0.323061,0.27513,0.26763,0.32159,0.429779,0.525681,0.535149,0.595248,0.440429,0.356586,0.332954,0.382105,0.600122
"F4_HG_3",0.637229,0.646892,0.618795,0.580119,0.143638,0.16905,0,0.753501,0.638816,0.646558,0.601019,0.451552,0.29155,0.272652,0.323042,0.51929,0.611914,0.614183,0.692167,0.534906,0.314918,0.290479,0.292578,0.641293
"F4_STOM",0.552739,0.73846,0.723172,0.748963,0.764642,0.733743,0.753501,0,0.612335,0.695617,0.757749,0.694076,0.791484,0.800723,0.819632,0.45064,0.651281,0.708382,0.801594,0.842905,0.862558,0.842355,0.867362,0.673663
"F5_GI_1",0.433803,0.529504,0.53969,0.545291,0.587718,0.558432,0.638816,0.612335,0,0.439765,0.510086,0.450638,0.586791,0.602042,0.646465,0.407909,0.29705,0.369266,0.578597,0.65027,0.720639,0.689977,0.74507,0.566772
"F5_GI_2",0.295889,0.287567,0.253568,0.243569,0.566315,0.515922,0.646558,0.695617,0.439765,0,0.238797,0.260739,0.588659,0.61067,0.648985,0.494092,0.442397,0.428402,0.317764,0.424266,0.675986,0.665038,0.765645,0.565124
"F5_GI_3",0.407864,0.269773,0.269455,0.258137,0.525032,0.478598,0.601019,0.757749,0.510086,0.238797,0,0.284709,0.526856,0.548717,0.583212,0.51196,0.590617,0.558534,0.278298,0.392667,0.613087,0.61451,0.694724,0.610798
"F5_GI_4",0.431293,0.469466,0.430781,0.41211,0.372569,0.323061,0.451552,0.694076,0.450638,0.260739,0.284709,0,0.35676,0.38077,0.418925,0.347939,0.490592,0.50142,0.488578,0.398174,0.500059,0.47969,0.554444,0.534339
"F5_HG_1",0.678088,0.663056,0.652235,0.59646,0.257926,0.27513,0.29155,0.791484,0.586791,0.588659,0.526856,0.35676,0,0.055469,0.083214,0.462578,0.64497,0.587639,0.589478,0.445792,0.324646,0.316024,0.313129,0.628641
