,F4_GI_1,F4_GI_2,F4_GI_3,F4_GI_4,F4_HG_1,F4_HG_2,F4_HG_3,F4_STOM,F5_GI_1,F5_GI_2,F5_GI_3,F5_GI_4,F5_HG_1,F5_HG_2,F5_HG_3,F5_STOM,F6_GI_1,F6_GI_4,F6_HG_1,F6_HG_2,F6_HG_3,F7_GI_2,F7_GI_3,F7_GI_4,F7_HG_1,F7_HG_2,F7_HG_3,F7_STOM,F8_GI_1,F8_GI_2,F8_GI_4,F8_HG_1,F8_HG_2,F8_HG_3,F8_STOM,cluster.index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score
8,-0.033389122,0.338729931,0.241391592,-0.731160457,-0.683071141,-0.707304438,-0.629984214,-0.411280788,-0.257858668,-0.667340797,-0.713863978,-0.649581606,-0.603579125,-0.624849977,-0.504126506,-0.39433365,0.440363289,-0.66273721,-0.530203753,-0.54246981,-0.500355085,-0.294792963,-0.181632891,0.427336206,0.108941188,-0.646064794,-0.700768166,-0.374333556,-0.237822856,0.161695992,-0.720914074,-0.562599668,-0.509478176,-0.491631968,-0.420483236,8,S8,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
23,-0.1197271,1.573917974,2.09292379,3.020606484,3.073635946,3.391802415,3.586377496,-0.411280788,-0.487128914,2.051143666,1.372403392,1.842305843,2.924907786,3.184813737,3.284146419,0.718984804,1.153094686,0.02135007,2.697325364,2.677140454,2.227963851,-0.562563523,-0.114690956,0.119048537,1.11825002,1.595109848,1.564161578,1.054920343,0.89965838,1.104479535,3.206683117,3.23229946,1.400451965,1.966067848,-0.420483236,23,S18,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
25,-0.821755849,-0.7334819,-0.790627754,-0.731160457,0.589392993,0.284690573,0.828513106,-0.411280788,-0.694314964,-0.667340797,-0.713863978,-0.649581606,1.853740691,2.316914666,2.215928566,-0.39433365,1.272540122,1.808820934,3.113673297,1.190710447,1.319474013,-0.758640117,-0.528754924,-0.172498052,0.4264129,1.182309083,1.414165128,-0.374333556,-0.78788789,-0.757669631,0.061615792,1.050301938,1.660930005,1.327761062,-0.420483236,25,S19,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
30,3.15897788,1.986685858,3.153002959,0.438774428,2.051395964,2.356568266,1.651603357,1.837491595,3.472354541,3.09575266,3.728717166,2.743168887,2.091770065,2.320576494,2.898789839,0.553260401,3.353082414,2.415685133,1.486515814,1.388712705,1.648410974,3.628941721,3.399759962,4.037396088,4.060690797,4.115857365,3.885347654,5.469022254,3.31091912,3.314272867,3.309413964,2.363823944,1.690576394,2.015154592,2.591513036,30,155,2,Organic compounds,1,Organic acids and derivatives,0.365079365,Carboxylic acids and derivatives,0.365079365,Tetracarboxylic acids and derivatives,0.293650794,Tetracarboxylic acids and derivatives,0.293650794,Aromatic heteropolycyclic compounds,0.761904762
68,0.799008522,-0.329134239,-0.142213586,0.597356146,2.932056422,3.395309796,3.287118571,7.327879064,2.821577633,-0.667340797,-0.713863978,2.198556222,5.010034885,4.449900556,4.64244316,6.138390762,-0.659453392,-0.66273721,-0.530203753,-0.54246981,-0.500355085,-0.758640117,-0.807651313,-0.109638072,-0.068927699,-0.646064794,-0.700768166,1.511286645,0.256994724,-0.757669631,-0.720914074,-0.562599668,-0.509478176,0.958508088,3.067953019,68,S45,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
83,3.118635312,1.659994764,2.639200113,3.18990179,1.361923854,1.359238767,0.912248979,1.446992175,3.191331538,2.376525302,2.883897275,2.064808022,1.323615289,1.388390188,1.82094618,1.504566862,2.369192274,1.744925069,1.136941257,1.052925136,1.338953767,3.020534589,2.973705499,3.274391434,3.245260207,3.175232961,2.95949294,4.322781039,2.989489864,2.832145345,2.411469291,1.58148224,1.070746364,1.309720701,1.755779635,83,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
87,2.232868976,0.058694605,2.083484567,2.271025979,0.003209666,1.574695218,-0.629984214,1.359094635,2.102069601,1.802805524,2.401372172,2.518122786,1.394996892,-0.624849977,-0.504126506,-0.39433365,2.030254285,-0.66273721,-0.031477615,1.047397812,1.240615523,2.401270865,2.366299706,2.648251024,2.605828689,2.264149156,2.256992278,-0.374333556,2.390986498,2.284799756,2.161820959,-0.562599668,0.130681376,1.34101278,-0.420483236,87,169,4,Organic compounds,1,Lipids and lipid-like molecules,0.9125,Glycerophospholipids,0.5125,Glycerophosphoglycerols,0.5125,Phosphatidylglycerols,0.5125,Aliphatic acyclic compounds,0.54375
90,-0.821755849,-0.7334819,-0.790627754,-0.731160457,1.314573918,1.147736071,1.203581547,0.671392464,-0.093425053,-0.667340797,-0.713863978,-0.649581606,1.524849531,1.4806223,1.382217864,0.636586097,-0.659453392,0.676902346,1.435203094,1.903631999,2.23890131,-0.758640117,-0.481081895,-0.804159412,-0.564701638,0.430005431,0.529993079,-0.374333556,-0.78788789,-0.757669631,-0.720914074,0.979764857,0.45700483,1.173209685,1.919260117,90,S54,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
91,1.208190625,-0.116195274,0.013294834,1.286134541,-0.683071141,0.776917188,-0.629984214,-0.411280788,1.030570925,-0.12660962,-0.059730895,-0.649581606,-0.603579125,-0.624849977,-0.504126506,-0.39433365,-0.357996892,-0.66273721,-0.530203753,-0.54246981,-0.500355085,1.207932148,1.206643332,1.461341638,0.267714371,-0.269036442,1.240708446,-0.374333556,1.125074919,1.1778957,1.167365539,-0.562599668,-0.509478176,-0.491631968,-0.420483236,91,73,30,Organic compounds,1,Lipids and lipid-like molecules,0.442142857,Prenol lipids,0.283597884,Triterpenoids,0.213835979,Triterpenoids,0.213835979,Aromatic heteropolycyclic compounds,0.37297619
95,-0.821755849,-0.7334819,-0.790627754,-0.168924735,2.497880664,2.029855798,2.18748148,-0.411280788,-0.694314964,-0.667340797,-0.240302165,-0.649581606,0.939101446,0.641904849,-0.504126506,-0.39433365,-0.659453392,1.464135003,1.666148586,2.813093753,3.205336613,-0.275525826,-0.20552842,0.317337993,0.120932817,0.563069401,0.439257511,-0.374333556,-0.78788789,-0.053713638,2.077964321,2.607278217,2.693287965,-0.491631968,-0.420483236,95,S56,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
