,Species,Gut_SubSection,Gut_SubSection.padjust,Species.padjust,Kingdom,Phylum,Class,Order,Family,Genus,F4_GI_1,F4_GI_2,F4_GI_3,F4_GI_4,F4_HG_1,F4_HG_2,F4_HG_3,F5_GI_1,F5_GI_2,F5_GI_3,F5_GI_4,F5_HG_1,F5_HG_2,F5_HG_3,F6_GI_1,F6_GI_3,F6_GI_4,F6_HG_1,F6_HG_2,F6_HG_3,F7_GI_2,F7_GI_3,F7_GI_4,F7_HG_1,F7_HG_2,F7_HG_3,F8_GI_1,F8_GI_2,F8_GI_3,F8_GI_4,F8_HG_1,F8_HG_2,F8_HG_3
Otu00040,0.168304683,6.44E-05,0.000454397,0.385651791,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0.00012,0,0,0,0.01018,0.00852,0.0169,0.00186,0.00026,0.00208,0.00598,0.02098,0.018,0.02712,0.00042,0,0,0,0,0,0.00042,0,0,0.00368,0.00546,0.00578,0.00024,0,0,0.0088,0.02868,0.02172,0.03904
Otu00057,0.081359729,0.002143689,0.008081226,0.255913331,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0,0,0,0,0.0011,0.00114,0.0022,0.00168,0,7.00E-04,0.00194,0.00602,0.0059,0.00852,0,0,0,0,0,0,0,0,0.00128,0.02634,0.0405,0.04514,0,0.00012,0,0.00146,0.005,0.00384,0.0084
Otu00108,0.032920833,0.000207715,0.001239125,0.21164498,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0,0,0,0,0.00126,0.00144,0.00256,0.00062,0,0.00016,0.00054,0.00218,0.0023,0.003,0,0,0,0,0,0,0,4.00E-05,0.00094,0.01106,0.0195,0.01676,0,0,0,0.0011,0.00404,0.00316,0.0064
Otu00047,0.241356903,2.81E-05,0.000239386,0.475837542,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,0.0214,0.01676,0.01854,0.00174,0.00018,0.00132,0.00456,0.01034,0.01318,0.01136,0.00152,0,0.01108,0.00434,0.00054,0.00058,0.00022,0,0.00162,0.02176,0.02076,0.02114,0,4.00E-05,0,0.0036,0.00964,0.00992,0.01176
Otu00058,0.032420789,0.005471451,0.017859643,0.21164498,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,0.00128,0.00126,0.00214,0,0,0.00024,0.00026,0.0012,0.00102,0.00122,0,0,0,0,0,0,0,0,0.00146,0.026,0.0278,0.02608,0,0,0,0.00062,0.00106,0.00266,0.00342
Otu00083,0.682750231,1.41E-05,0.00016213,0.825984546,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,0.01026,0.00968,0.01528,0,0,0,0,0,0.00102,0.00092,0,0,0,0.00112,0.00216,0.00274,0,0,0,0.00688,0.0091,0.0102,0,0,0,0.00152,0.0026,0.00202,0.00282
Otu00094,0.652164127,1.90E-06,7.05E-05,0.805220366,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,0.0074,0.007,0.01792,0.00084,0,0.00186,0.00454,0.00836,0.01034,0.0081,0.00134,0,0.0055,0.00462,0.0014,0.00222,0,0,0.0038,0.00592,0.00808,0.0075,0,0,0,0.00316,0.00544,0.00472,0.00834
Otu00097,0.190284121,0.000112528,0.00073462,0.411489411,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,0.01572,0.01222,0.02146,0,0,0,0.00136,0.0025,0.003,0.00232,0,0,0,0.00072,0,0,0,0,0,0.00182,0.0027,0.00294,0,0,0,0.00348,0.00862,0.0082,0.0116
Otu00104,0.051505454,5.30E-05,0.000390416,0.212986203,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,0.00998,0.00774,0.01118,0.00082,0,0.00116,0.0027,0.00558,0.00546,0.0058,0.00036,0,0,0,0,0,2.00E-04,0,0.00016,0.00536,0.00392,0.00364,0,0,0,0.00306,0.0075,0.00682,0.00756
Otu00131,0.544854903,0.019123004,0.046925954,0.764756443,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.00042,0.00254,0.0063,0.00776,0.00924,0.00848,0.00126,0,0.00106,0.00102,0.00064,5.00E-04,0.00022,0.00024,0,0,0,0,0,0,0,0.0043,0.01776,0.002,0.0011,0.00034,0,0,5.00E-04,0.00354,0,0.00032,0
