cluster index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score
1,S1,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
2,S2,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
3,S3,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
4,S4,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
5,S5,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
6,S6,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
7,S7,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
8,S8,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
9,S9,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
10,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
642,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
792,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
1000,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
1032,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
