,F4_GI_1,F4_GI_2,F4_GI_3,F4_GI_4,F4_HG_1,F4_HG_2,F4_HG_3,F5_GI_1,F5_GI_2,F5_GI_3,F5_GI_4,F5_HG_1,F5_HG_2,F5_HG_3,F6_GI_1,F6_GI_4,F6_HG_1,F6_HG_2,F6_HG_3,F7_GI_2,F7_GI_3,F7_GI_4,F7_HG_1,F7_HG_2,F7_HG_3,F8_GI_1,F8_GI_2,F8_GI_4,F8_HG_1,F8_HG_2,F8_HG_3,Species,Gut_SubSection,Gut_SubSection.padjust,Species.padjust,cluster.index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score,row.ID,row.m.z,row.retention.time,Component.Index,Library.ID,Library.Common.Name,Analog.ID,analog_mass_difference,Common.Name
8,1.320242111,2.056892096,1.765960554,-0.3,-0.3,-0.3,-0.3,0.410055303,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,2.175195819,-0.3,-0.3,-0.3,-0.3,0.398146276,0.685728033,1.63427808,0.908441713,-0.3,-0.3,0.565541634,1.569699281,-0.3,-0.3,-0.3,-0.3,0.572975352,0.005059571,0.044720081,0.862960772,8,S8,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,8,162.1124163,0.607984848,126,N/A,N/A,N/A,N/A,N/A
22,2.109010516,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,2.455847134,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.913994256,1.504403198,-0.3,-0.3,-0.3,-0.3,2.202316805,1.746241718,-0.3,-0.3,-0.3,-0.3,0.2886371,0.001844341,0.02153296,0.67595355,22,S17,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,22,144.0798414,2.685605702,-1,N/A,N/A,N/A,N/A,N/A
25,-0.3,-0.3,-0.3,-0.3,0.128852158,-0.194727198,0.241357155,-0.3,-0.3,-0.3,-0.3,0.941183157,1.257393915,0.789842913,1.135358451,1.25318714,2.800080258,0.674730538,0.770051982,-0.3,-0.3,-0.3,-0.022253621,0.418227083,0.67487103,-0.3,-0.3,-0.3,0.471595515,1.166455776,0.449030656,0.057389771,0.000362858,0.00662821,0.341194223,25,S19,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,25,214.1076267,1.5672525,154,Kainic Acid,Kainic Acid,Massbank:PR300704 Kainic acid,0.000610352,Kainic Acid
30,1.19689988,-0.169203305,0.872414612,-0.3,-0.3,-0.3,-0.3,1.319356352,0.679528326,0.766491479,-0.3,-0.3,-0.3,-0.3,1.337995856,-0.3,-0.3,-0.3,-0.3,1.229146937,0.792569971,0.764245548,1.543233306,0.608511374,0.533468602,0.835258999,1.139343701,0.348468949,-0.3,-0.3,-0.3,0.043603819,0.000110614,0.002651331,0.33717291,30,155,2,Organic compounds,1,Organic acids and derivatives,0.365079365,Carboxylic acids and derivatives,0.365079365,Tetracarboxylic acids and derivatives,0.293650794,Tetracarboxylic acids and derivatives,0.293650794,Aromatic heteropolycyclic compounds,0.761904762,30,132.1014207,0.965533608,-1,N/A,N/A,N/A,N/A,N/A
83,1.700720895,-0.047350299,0.861446275,1.204244641,-0.3,-0.3,-0.3,1.558749672,0.443347644,0.520333401,-0.3,-0.3,-0.3,-0.3,0.742624066,-0.3,-0.3,-0.3,-0.3,1.145229127,0.90910454,0.651880398,1.241539525,0.358499805,0.279184231,1.044212722,1.155822301,0.049210733,-0.3,-0.3,-0.3,0.037718168,3.32E-06,0.000139804,0.33717291,83,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152,83,120.0801662,1.457089758,-1,N/A,N/A,N/A,N/A,N/A
90,-0.3,-0.3,-0.3,-0.3,1.19803714,0.897362704,0.940236061,-0.171140624,-0.3,-0.3,-0.3,1.067862682,0.985970439,0.548032654,-0.3,0.519521,1.486681907,1.883167244,2.23752134,-0.3,-0.3,-0.3,-0.3,0.069712023,0.232943054,-0.3,-0.3,-0.3,0.750862362,0.216640255,0.654522257,0.039273552,3.77E-06,0.000147655,0.33717291,90,S54,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,90,454.2932627,6.464679792,7,Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14,1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid,23.9937,1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine
91,1.711846638,-0.120624714,0.048327721,1.417340968,-0.3,0.555716716,-0.3,1.274770467,-0.272943088,-0.241590403,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.409239379,1.32131214,1.254767231,0.076590445,-0.3,0.931082744,1.288295616,1.500282071,1.027088074,-0.3,-0.3,-0.3,0.161711109,0.00374932,0.034824193,0.515219115,91,73,30,Organic compounds,1,Lipids and lipid-like molecules,0.442142857,Prenol lipids,0.283597884,Triterpenoids,0.213835979,Triterpenoids,0.213835979,Aromatic heteropolycyclic compounds,0.37297619,91,165.0548047,0.881627517,-1,L-Tyrosine,Tyrosine,L-Tyrosine,0.000198364,Tyrosine
99,-0.3,-0.3,-0.3,-0.3,1.308642007,-0.3,1.304617025,-0.3,-0.3,-0.3,-0.3,0.672975025,0.791279771,0.400453149,-0.3,0.635572545,1.567697643,2.210374106,2.749849082,-0.3,-0.3,-0.3,-0.3,0.08392242,0.273772827,-0.3,-0.3,-0.3,-0.3,0.424727992,0.596667096,0.034409003,0.000335942,0.006348143,0.33717291,99,S57,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,99,426.2619851,5.932470202,7,1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,14:0 Lyso PE,NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid,52.025,14:0 Lyso PE
102,1.392771979,0.009217655,0.849786205,0.866366431,-0.221733761,-0.182041067,-0.3,1.604870225,0.606550367,0.938010131,0.381702555,-0.3,-0.3,-0.120426186,-0.3,-0.3,-0.3,-0.3,-0.3,0.833690372,1.219959992,0.79991365,0.951479359,-0.3,0.338370247,1.487122618,1.112737307,0.52641899,-0.3,-0.3,-0.3,0.057612986,0.000616301,0.009649505,0.341194223,102,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152,102,150.0578301,0.837887857,-1,N/A,N/A,N/A,N/A,N/A
104,-0.3,-0.3,-0.3,-0.3,0.909476504,0.060747004,0.671831692,-0.3,-0.3,-0.3,-0.3,0.753076938,0.67628058,0.348052555,-0.3,1.053276274,2.195284973,1.874576271,2.146911851,-0.3,-0.3,-0.3,-0.3,0.13109,0.44961026,-0.3,-0.3,-0.258819084,0.702986337,0.884289602,0.594620426,0.016850734,1.34E-06,7.37E-05,0.33717291,104,S58,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,104,440.2776288,6.158697967,7,N/A,N/A,NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid,38.0094,CHEBI:143761
