label,group,nseqs,sobs,chao,chao_lci,chao_hci,shannon,shannon_lci,shannon_hci,shannoneven
0,BLANK2_1_A,50000,24,24,24,24,2.690422,2.682639,2.698206,0.846563
0,F1_GI,50000,50,50.375,50.027681,55.080142,1.60357,1.591916,1.615225,0.409908
0,F1_HG,50000,347,347,347,0,4.781225,4.76867,4.793781,0.817398
0,F1_PC,50000,127,127,127,127,2.76354,2.752275,2.774806,0.570486
0,F1_STOM,50000,491,491.954545,491.132395,497.88213,3.145627,3.122572,3.168682,0.50765
0,F2_GI,50000,176,179,176.697063,188.911312,1.459634,1.444216,1.475052,0.282301
0,F2_HG,50000,486,486.428571,486.032985,491.568409,5.086134,5.07306,5.099208,0.822173
0,F2_PC,50000,101,101,101,101,3.229435,3.216516,3.242355,0.699751
0,F3_GI,50000,29,29,29,0,1.240177,1.229675,1.250678,0.3683
0,F3_HG,50000,316,316.588235,316.061542,321.622547,3.418033,3.401543,3.434523,0.593848
0,F3_PC,50000,176,180.5,176.978362,196.697853,2.487465,2.472587,2.502342,0.481089
0,F3_STOM,50000,659,717.72093,694.452896,756.259971,3.597717,3.579257,3.616178,0.554286
0,F4_GI_1,50000,145,155.928571,148.534503,178.790798,2.238499,2.22392,2.253078,0.449793
0,F4_GI_2,50000,140,142.545455,140.483833,153.391697,2.91026,2.896116,2.924403,0.588926
0,F4_GI_3,50000,153,158.625,154.315172,177.05817,2.626125,2.610392,2.641858,0.522047
0,F4_GI_4,50000,206,208.571429,206.516062,218.812889,3.085156,3.068245,3.102068,0.579059
0,F4_HG_1,50000,660,667.977273,662.916833,681.817116,4.444719,4.424801,4.464638,0.68462
0,F4_HG_2,50000,514,521,515.965347,538.931989,4.014275,3.993021,4.035529,0.643084
0,F4_HG_3,50000,371,371,371,0,4.05479,4.035642,4.073937,0.68537
0,F4_PC,50000,215,216,215.068597,229.577897,2.05587,2.032994,2.078747,0.382798
0,F4_STOM,50000,371,391.8125,380.199626,418.084542,1.345667,1.325836,1.365498,0.227454
0,F5_GI_1,50000,237,237,237,0,2.695356,2.677614,2.713098,0.492927
0,F5_GI_2,50000,170,172.8,170.540907,184.494168,2.889312,2.873414,2.90521,0.562583
0,F5_GI_3,50000,331,334.4375,331.793112,345.898778,3.600126,3.582876,3.617377,0.620485
0,F5_GI_4,50000,498,508.5,501.690603,527.873166,3.74406,3.723292,3.764828,0.60285
0,F5_HG_1,50000,444,447,444.619406,458.530055,4.543985,4.528218,4.559752,0.745426
0,F5_HG_2,50000,493,501.666667,495.372262,524.66223,4.661158,4.645438,4.676878,0.751738
0,F5_HG_3,50000,439,441,439.249903,455.006186,4.713972,4.699483,4.728461,0.774751
0,F5_PC,50000,314,314,314,0,3.857816,3.838701,3.876932,0.670995
0,F5_STOM,50000,442,445.235294,442.73822,456.178866,3.321929,3.30164,3.342218,0.545355
0,F6_GI_1,50000,248,248,248,248,3.564576,3.549865,3.579288,0.646526
0,F6_GI_3,50000,129,130.25,129.164244,138.513299,2.837645,2.821659,2.853631,0.5839
0,F6_GI_4,50000,302,302.1,302.003884,304.574653,3.954774,3.939973,3.969574,0.692553
0,F6_HG_1,50000,429,433.125,430.017454,445.723731,4.498733,4.484185,4.51328,0.742187
0,F6_HG_2,50000,395,398.391304,395.833066,408.80557,3.831045,3.814001,3.848089,0.640762
0,F6_HG_3,50000,380,385.625,381.315172,404.05817,4.236664,4.221641,4.251688,0.713223
0,F6_PC,50000,303,303,303,303,4.11034,4.094991,4.125689,0.719379
0,F7_GI_2,50000,124,125.363636,124.199005,133.344,1.247067,1.23057,1.263565,0.258713
0,F7_GI_3,50000,147,147.125,147.005267,149.966835,3.57993,3.5672,3.59266,0.717359
0,F7_GI_4,50000,226,228.1,226.361797,238.189165,3.720912,3.707815,3.734009,0.686447
0,F7_HG_1,50000,511,517.875,512.709308,538.651911,5.288265,5.276777,5.299753,0.847972
