SampleCode,Sample_Type_Broad,RobCode,Fish_Number,Species,Gut_Section,Gut_SubSection,Culture_Media
F1_GI,Fish_Gut,,F1,Kyphosus cinerascens,GI,GI,Fish_Gut
F1_HG,Fish_Gut,,F1,Kyphosus cinerascens,HG,HG,Fish_Gut
F1_PC,Fish_Gut,,F1,Kyphosus cinerascens,PC,PC,Fish_Gut
F1_STOM,Fish_Gut,,F1,Kyphosus cinerascens,ST,ST,Fish_Gut
F2_GI,Fish_Gut,,F2,Kyphosus vaigiensis,GI,GI,Fish_Gut
F2_HG,Fish_Gut,,F2,Kyphosus vaigiensis,HG,HG,Fish_Gut
F2_PC,Fish_Gut,,F2,Kyphosus vaigiensis,PC,PC,Fish_Gut
F3_GI,Fish_Gut,,F3,Kyphosus hawaiiensis,GI,GI,Fish_Gut
F3_HG,Fish_Gut,,F3,Kyphosus hawaiiensis,HG,HG,Fish_Gut
F3_PC,Fish_Gut,,F3,Kyphosus hawaiiensis,PC,PC,Fish_Gut
F3_STOM,Fish_Gut,,F3,Kyphosus hawaiiensis,ST,ST,Fish_Gut
F4_GI_1,Fish_Gut,,F4,Kyphosus vaigiensis,GI,GI_1,Fish_Gut
F4_GI_2,Fish_Gut,,F4,Kyphosus vaigiensis,GI,GI_2,Fish_Gut
F4_GI_3,Fish_Gut,,F4,Kyphosus vaigiensis,GI,GI_3,Fish_Gut
F4_GI_4,Fish_Gut,,F4,Kyphosus vaigiensis,GI,GI_4,Fish_Gut
F4_HG_1,Fish_Gut,,F4,Kyphosus vaigiensis,HG,HG_1,Fish_Gut
F4_HG_2,Fish_Gut,,F4,Kyphosus vaigiensis,HG,HG_2,Fish_Gut
F4_HG_3,Fish_Gut,,F4,Kyphosus vaigiensis,HG,HG_3,Fish_Gut
F4_PC,Fish_Gut,,F4,Kyphosus vaigiensis,PC,PC,Fish_Gut
F4_STOM,Fish_Gut,,F4,Kyphosus vaigiensis,ST,ST,Fish_Gut
F5_GI_1,Fish_Gut,,F5,Kyphosus vaigiensis,GI,GI_1,Fish_Gut
F5_GI_2,Fish_Gut,,F5,Kyphosus vaigiensis,GI,GI_2,Fish_Gut
F5_GI_3,Fish_Gut,,F5,Kyphosus vaigiensis,GI,GI_3,Fish_Gut
F5_GI_4,Fish_Gut,,F5,Kyphosus vaigiensis,GI,GI_4,Fish_Gut
F5_HG_1,Fish_Gut,,F5,Kyphosus vaigiensis,HG,HG_1,Fish_Gut
F5_HG_2,Fish_Gut,,F5,Kyphosus vaigiensis,HG,HG_2,Fish_Gut
F5_HG_3,Fish_Gut,,F5,Kyphosus vaigiensis,HG,HG_3,Fish_Gut
F5_PC,Fish_Gut,,F5,Kyphosus vaigiensis,PC,PC,Fish_Gut
F5_STOM,Fish_Gut,,F5,Kyphosus vaigiensis,ST,ST,Fish_Gut
F6_GI_1,Fish_Gut,,F6,Kyphosus cinerascens,GI,GI_1,Fish_Gut
F6_GI_3,Fish_Gut,,F6,Kyphosus cinerascens,GI,GI_3,Fish_Gut
