"","SampleCode","Sample_Type_Broad","RobCode","Fish_Number","Species","Gut_Zone","Gut_SubSection","Culture_Media","Gut_Section"
"1","F1_GI","Fish_Gut","","F1","Kyphosus cinerascens","GI","GI","Fish_Gut","GI"
"2","F1_HG","Fish_Gut","","F1","Kyphosus cinerascens","HG","HG","Fish_Gut","HG"
"4","F1_STOM","Fish_Gut","","F1","Kyphosus cinerascens","ST","ST","Fish_Gut","ST"
"5","F2_GI","Fish_Gut","","F2","Kyphosus vaigiensis","GI","GI","Fish_Gut","GI"
"6","F2_HG","Fish_Gut","","F2","Kyphosus vaigiensis","HG","HG","Fish_Gut","HG"
"8","F3_GI","Fish_Gut","","F3","Kyphosus hawaiiensis","GI","GI","Fish_Gut","GI"
"9","F3_HG","Fish_Gut","","F3","Kyphosus hawaiiensis","HG","HG","Fish_Gut","HG"
"11","F3_STOM","Fish_Gut","","F3","Kyphosus hawaiiensis","ST","ST","Fish_Gut","ST"
"12","F4_GI_1","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_1","Fish_Gut","GI"
"13","F4_GI_2","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_2","Fish_Gut","GI"
"14","F4_GI_3","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_3","Fish_Gut","GI"
"15","F4_GI_4","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_4","Fish_Gut","GI"
"16","F4_HG_1","Fish_Gut","","F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut","HG"
"17","F4_HG_2","Fish_Gut","","F4","Kyphosus vaigiensis","HG","HG_2","Fish_Gut","HG"
"18","F4_HG_3","Fish_Gut","","F4","Kyphosus vaigiensis","HG","HG_3","Fish_Gut","HG"
"20","F4_STOM","Fish_Gut","","F4","Kyphosus vaigiensis","ST","ST","Fish_Gut","ST"
"21","F5_GI_1","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut","GI"
"22","F5_GI_2","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_2","Fish_Gut","GI"
"23","F5_GI_3","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_3","Fish_Gut","GI"
"24","F5_GI_4","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_4","Fish_Gut","GI"
"25","F5_HG_1","Fish_Gut","","F5","Kyphosus vaigiensis","HG","HG_1","Fish_Gut","HG"
"26","F5_HG_2","Fish_Gut","","F5","Kyphosus vaigiensis","HG","HG_2","Fish_Gut","HG"
"27","F5_HG_3","Fish_Gut","","F5","Kyphosus vaigiensis","HG","HG_3","Fish_Gut","HG"
"29","F5_STOM","Fish_Gut","","F5","Kyphosus vaigiensis","ST","ST","Fish_Gut","ST"
"30","F6_GI_1","Fish_Gut","","F6","Kyphosus cinerascens","GI","GI_1","Fish_Gut","GI"
"31","F6_GI_3","Fish_Gut","","F6","Kyphosus cinerascens","GI","GI_3","Fish_Gut","GI"
"32","F6_GI_4","Fish_Gut","","F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut","GI"
"33","F6_HG_1","Fish_Gut","","F6","Kyphosus cinerascens","HG","HG_1","Fish_Gut","HG"
"34","F6_HG_2","Fish_Gut","","F6","Kyphosus cinerascens","HG","HG_2","Fish_Gut","HG"
"35","F6_HG_3","Fish_Gut","","F6","Kyphosus cinerascens","HG","HG_3","Fish_Gut","HG"
"39","F7_GI_2","Fish_Gut","","F7","Kyphosus hawaiiensis","GI","GI_2","Fish_Gut","GI"
"40","F7_GI_3","Fish_Gut","","F7","Kyphosus hawaiiensis","GI","GI_3","Fish_Gut","GI"
"41","F7_GI_4","Fish_Gut","","F7","Kyphosus hawaiiensis","GI","GI_4","Fish_Gut","GI"
"42","F7_HG_1","Fish_Gut","","F7","Kyphosus hawaiiensis","HG","HG_1","Fish_Gut","HG"
"43","F7_HG_2","Fish_Gut","","F7","Kyphosus hawaiiensis","HG","HG_2","Fish_Gut","HG"
"44","F7_HG_3","Fish_Gut","","F7","Kyphosus hawaiiensis","HG","HG_3","Fish_Gut","HG"
"46","F7_STOM","Fish_Gut","","F7","Kyphosus hawaiiensis","ST","ST","Fish_Gut","ST"
"47","F8_GI_1","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_1","Fish_Gut","GI"
"48","F8_GI_2","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_2","Fish_Gut","GI"
"49","F8_GI_3","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_3","Fish_Gut","GI"
"50","F8_GI_4","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_4","Fish_Gut","GI"
"51","F8_HG_1","Fish_Gut","","F8","Kyphosus vaigiensis","HG","HG_1","Fish_Gut","HG"
"52","F8_HG_2","Fish_Gut","","F8","Kyphosus vaigiensis","HG","HG_2","Fish_Gut","HG"
"53","F8_HG_3","Fish_Gut","","F8","Kyphosus vaigiensis","HG","HG_3","Fish_Gut","HG"
"55","F8_STOM","Fish_Gut","","F8","Kyphosus vaigiensis","ST","ST","Fish_Gut","ST"
