"","Species","Gut_SubSection","Gut_SubSection.padjust","Species.padjust","cluster.index","CF_componentindex","CF_NrNodes","CF_kingdom","CF_kingdom_score","CF_superclass","CF_superclass_score","CF_class","CF_class_score","CF_subclass","CF_subclass_score","CF_Dparent","CF_Dparent_score","CF_MFramework","CF_MFramework_score"
"8",0.578020722892295,0.00238979422656397,0.0196965491394145,0.840769300162514,8,"S8",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"23",0.091487591067908,0.00224619284316029,0.0195452302621261,0.459173165410856,23,"S18",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"25",0.0407138789711919,5.74751420495842e-05,0.00104712524421586,0.370877991253201,25,"S19",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"30",0.0267241374866318,9.41411397697213e-05,0.00161424366134551,0.341066549744865,30,"155",2,"Organic compounds",1,"Organic acids and derivatives",0.365079365,"Carboxylic acids and derivatives",0.365079365,"Tetracarboxylic acids and derivatives",0.293650794,"Tetracarboxylic acids and derivatives",0.293650794,"Aromatic heteropolycyclic compounds",0.761904762
"68",0.454943620772722,0.000192362548228766,0.00287557347736848,0.840769300162514,68,"S45",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"83",0.0199282534634809,4.81547834932459e-07,2.55220352514203e-05,0.341066549744865,83,"5",100,"Organic compounds",0.93,"Organic acids and derivatives",0.288345599,"Carboxylic acids and derivatives",0.271099206,"Amino acids, peptides, and analogues",0.269849206,"Dipeptides",0.112630952,"Aromatic heteropolycyclic compounds",0.295015152
"87",0.169946286369062,0.00241639449731723,0.0196965491394145,0.575592198702941,87,"169",4,"Organic compounds",1,"Lipids and lipid-like molecules",0.9125,"Glycerophospholipids",0.5125,"Glycerophosphoglycerols",0.5125,"Phosphatidylglycerols",0.5125,"Aliphatic acyclic compounds",0.54375
"90",0.0313545055290367,6.70251980450039e-06,0.00018607471647732,0.344144469724574,90,"S54",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"91",0.141224231188245,0.000671774404537898,0.00813164261483578,0.547803593504631,91,"73",30,"Organic compounds",1,"Lipids and lipid-like molecules",0.442142857,"Prenol lipids",0.283597884,"Triterpenoids",0.213835979,"Triterpenoids",0.213835979,"Aromatic heteropolycyclic compounds",0.37297619
"95",0.309174828664278,0.00246559527536981,0.0196965491394145,0.785772113426436,95,"S56",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"97",0.0515364861235413,3.67588001449344e-06,0.000112791476234193,0.384991427695442,97,"14",17,"Organic compounds",0.941176471,"Lipids and lipid-like molecules",0.656862745,"Fatty Acyls",0.504201681,"Fatty acids and conjugates",0.179738562,"Long-chain fatty acids",0.172385621,"Aliphatic acyclic compounds",0.464402428
"99",0.0246803034055074,0.000116717709484089,0.00189017846192288,0.341066549744865,99,"S57",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"102",0.0448477254225266,2.55770459349167e-05,0.000552274732594683,0.381741398163445,102,"5",100,"Organic compounds",0.93,"Organic acids and derivatives",0.288345599,"Carboxylic acids and derivatives",0.271099206,"Amino acids, peptides, and analogues",0.269849206,"Dipeptides",0.112630952,"Aromatic heteropolycyclic compounds",0.295015152
"104",0.0118097952383866,1.99277223307343e-07,1.93631035313635e-05,0.341066549744865,104,"S58",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"106",0.0843677256250198,5.91326726196131e-08,8.6185870343086e-06,0.4525866481055,106,"S59",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
