,Species,Gut_SubSection,Gut_SubSection.padjust,Species.padjust,Kingdom,Phylum,Class,Order,Family,Genus,ST.mean,PC.mean,GI_1.mean,GI_2.mean,GI_3.mean,GI_4.mean,HG_1.mean,HG_2.mean,HG_3.mean
Otu00019,0.306769734,2.82E-08,2.57E-06,0.529630897,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,0.000523333,0.007803333,0.004845,0.000145,0.00042,0.003364,0.021088,0.037776,0.032312
Otu00025,0.179564642,3.15E-07,8.86E-06,0.491441507,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0.002483333,0.007113333,0.001385,0.000295,0.001528,0.005608,0.030156,0.02784,0.028968
Otu00003,0.591288338,0.008472487,0.022660314,0.706858331,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrionaceae_unclassified,0.06821,0.094116667,0.105245,0.14106,0.085792,0.077284,0.033504,0.032412,0.021248
Otu00005,0.046913361,0.001087501,0.004333526,0.357317873,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,0.009443333,0.076616667,0.045915,0.129215,0.07908,0.066856,0.030684,0.027448,0.01852
Otu00040,0.157738856,3.54E-06,4.24E-05,0.478925025,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0.000256667,0.001563333,0.00066,0.00017,0.000416,0.002956,0.012704,0.01074,0.017768
Otu00024,0.38929075,2.78E-05,0.000204972,0.576183625,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,0.00115,0.029966667,0.02027,0.00013,0.008996,0.011352,0.017708,0.01254,0.016668
Otu00062,0.149910251,1.04E-09,4.11E-07,0.478925025,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,Clostridiales_vadinBB60_group_ge,0.000656667,0.001526667,8.50E-05,5.50E-05,0.000172,0.00208,0.01402,0.014532,0.01662
Otu00028,0.282956904,0.007725593,0.02123865,0.519270583,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,0.00046,0.020736667,0.021105,0,0.004544,0.00818,0.009632,0.008756,0.013068
Otu00057,0.110998265,0.000216266,0.001079963,0.465838465,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,5.00E-05,0,0.00042,3.00E-05,0.00014,0.000936,0.007692,0.010276,0.012852
Otu00047,0.308657618,9.79E-06,9.03E-05,0.530568323,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.00131,0.003526667,0.000815,0.00011,0.000264,0.004172,0.013496,0.012232,0.012676
Otu00069,0.436919224,8.71E-08,5.72E-06,0.616689209,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,0.000403333,0.001196667,0.000325,6.00E-05,0.000316,0.001924,0.007932,0.008868,0.011508
Otu00061,0.927818201,2.26E-07,7.45E-06,0.934927919,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0.00063,0.002333333,0.000875,5.00E-05,0.000624,0.003896,0.012032,0.01022,0.011484
Otu00063,0.463525513,1.04E-10,8.22E-08,0.635720872,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,0.00027,0.004133333,0.0013,0,0.000516,0.002888,0.009244,0.009328,0.011352
Otu00072,0.587833926,0.003506281,0.011245733,0.703795095,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,0.000303333,0.002586667,0.001125,9.00E-05,0.000456,0.002652,0.00746,0.004348,0.01018
Otu00095,0.310271094,5.61E-08,4.03E-06,0.532182376,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0.000373333,0.001053333,0.000105,5.50E-05,0.00032,0.001748,0.006364,0.006824,0.009792
Otu00091,0.183093775,9.64E-07,1.81E-05,0.492586774,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0.000336667,0.001153333,0.000495,0.000135,0.00026,0.0016,0.007472,0.007488,0.00964
Otu00059,0.036188663,1.21E-06,2.16E-05,0.357317873,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,0.00117,0.002423333,9.50E-05,0.000115,0.00026,0.001316,0.012992,0.012004,0.00962
Otu00079,0.200954466,1.92E-05,0.00015137,0.493354692,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_ge,0.000603333,0.003053333,0.000635,3.00E-05,9.20E-05,0.001028,0.00698,0.006188,0.00896
Otu00094,0.709117929,2.93E-08,2.57E-06,0.783605106,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000243333,0.00107,0.000545,0,0.000372,0.0034,0.006348,0.006308,0.008816
Otu00098,0.366169959,0.019826642,0.046557203,0.562930642,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,0.000436667,0.000323333,6.00E-04,0.00037,0.000716,0.002004,0.005812,0.004976,0.00842
Otu00097,0.022534298,5.27E-05,0.000321438,0.357317873,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.00073,0.00266,0,0,0,0.000968,0.005876,0.005224,0.007664
Otu00087,0.767230509,4.01E-08,3.16E-06,0.810367968,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallaceae_ge,0.000513333,0.00178,0.00137,2.50E-05,6.40E-05,0.001116,0.00772,0.00664,0.007032
Otu00137,0.009885699,4.71E-06,5.23E-05,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0.000153333,0.001713333,0,0,0.000104,0.000568,0.003052,0.003256,0.006856
Otu00058,0.071262572,0.002213626,0.00797512,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,9.67E-05,3.67E-05,0,0,4.80E-05,0.000468,0.005908,0.006548,0.006572
Otu00083,0.512634658,3.72E-05,0.000249182,0.661978307,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000396667,0.001236667,0,0,0,0.000304,0.004172,0.004796,0.006392
Otu00089,0.066419523,3.14E-06,3.94E-05,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,5.00E-04,0.001546667,3.00E-04,2.00E-05,0.000192,0.001772,0.007976,0.007096,0.006272
Otu00045,0.036521561,0.01436904,0.035099605,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,0.000523333,0.046403333,0.012495,0.003,0.001824,0.003208,0.004432,0.00412,0.006104
Otu00108,0.143307184,3.88E-05,0.000257447,0.478925025,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,8.33E-05,0.000256667,0.000155,0,4.00E-05,0.000516,0.003708,0.00528,0.005744
Otu00104,0.068598194,8.39E-05,0.000483267,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000576667,0.002543333,0.000295,5.00E-05,0.000232,0.001184,0.005684,0.004788,0.005636
Otu00111,0.841972871,1.57E-06,2.48E-05,0.856078087,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R-7_group,9.67E-05,0.001463333,0.00057,3.50E-05,0.000168,0.00094,0.00426,0.004512,0.005616
Otu00141,0.05367452,0.000474334,0.002175872,0.358879984,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,0.00017,0.000326667,0,0,0,0.000228,0.003956,0.004496,0.005416
Otu00105,0.008376489,4.29E-06,4.84E-05,0.357317873,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000496667,0.00147,0,0,0.00026,0.00116,0.004552,0.004276,0.005112
Otu00130,0.536845401,1.60E-07,6.61E-06,0.678799714,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,0.000306667,0.00085,0.00035,1.50E-05,0.00026,0.000888,0.0041,0.003948,0.005104
Otu00049,0.054080016,0.008066748,0.021871697,0.358879984,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,0.000213333,0.013186667,0.002155,0.00369,0.007564,0.018816,0.008792,0.00546,0.004692
