"","Species","Gut_SubSection","Gut_SubSection.padjust","Species.padjust","Kingdom","Phylum","Class","Order","Family","Genus","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F6_GI_1","F6_GI_3","F6_GI_4","F6_HG_1","F6_HG_2","F6_HG_3","F7_GI_2","F7_GI_3","F7_GI_4","F7_HG_1","F7_HG_2","F7_HG_3","F8_GI_1","F8_GI_2","F8_GI_3","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3"
"Otu00003",0.48222719403724,6.00357563945043e-05,0.000432757744010385,0.714563636560535,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrionaceae_unclassified",0.252266827948216,0.298167038740777,0.209224842391882,0.144936821374408,0.0742301354983299,0.0684639984064946,0.0414847808111334,0.458149829260925,0.608831223483132,0.544596908529257,0.609278770848916,0.382342840019631,0.384159397884444,0.314921494974884,0.121126429194016,0.14900956765396,0.111857486169469,0.0620074615771933,0.0200013335733905,0,0.0713346025135545,0.0161252143073659,0.0334726512735141,0.0154925531290998,0,0.0268360367115923,0.395538399537802,0.391755462658154,0.313526676069064,0.157106354408807,0.13732533204054,0.128886695411621,0.0887731939570922
"Otu00004",0.652787030415413,0.0021405573051131,0.00808122618010774,0.805220365503505,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurellaceae_unclassified",0.360216609979501,0.0928696238764644,0.0228054852686513,0.0118324356673172,0,0,0.0236665283589545,0.378979928194521,0.0200013335733905,0,0,0.00894439117125142,0.0134168103898401,0,0.0721736684268068,0,0,0,0,0,0.0431410981008142,0.0331723313941455,0.0538777103935892,0.0447362801022473,0.032254623442895,0.0253009205357413,0,0,0,0,0.0044721508622536,0.00632459748479786,0
"Otu00005",0.0957064866584718,0.000420350205606333,0.00217076374835509,0.281134099429713,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",0.249313485121939,0.253051812058816,0.323579432088276,0.346447508230557,0.211087380762916,0.218577261227102,0.0711938033847323,0.158138448786854,0.346979442737642,0.223022898882063,0.219849300326645,0.216727546129874,0.20217285874965,0.23010415416107,0.245438267124425,0.275310279180263,0.190140998760662,0.127862823129354,0.119785204770627,0.110039972144601,0.267214115441818,0.0759677122215767,0.0845993983940858,0.0340653608675008,0.0219106553910847,0.0214492552468059,0.198635869043259,0.545070696169223,0.419262801194046,0.366716987184871,0.215821027207002,0.188572265518618,0.152244963364139
"Otu00015",0.221276297971968,0.00604083793825082,0.0192638702915648,0.454572444054141,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcaceae_unclassified",0.202020294548168,0.267371136994457,0.194827723516597,0.219049192210047,0.110497107231273,0.0999662142209735,0.0551641689657941,0.589072127745851,0.140533535716642,0.05002085680577,0.0409992883336807,0.046276649381921,0.0467074509873697,0.0508155670847216,0,0,0,0,0,0,0.152378326113366,0.158587948388854,0.103041370895856,0.0602027955033582,0.0460597419612265,0.0331723313941455,0.630848904939389,0.516013525330068,0.131604562025773,0.0628107111436491,0.119785204770627,0.174960206616848,0.0842423419726864
"Otu00019",0.0611397445106747,1.9369376833662e-06,7.05453093099691e-05,0.218086098976221,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",0.00774604415417324,0,0,0,0.103626167681237,0.117315917625842,0.229021033624689,0.0173213742180269,0.0184401339561902,0.0445118880945281,0.0918898189967884,0.146745118435895,0.161385674871035,0.168848779987674,0.137767099885968,0.010954670250958,0.0731404974285391,0.228885308853131,0.353587713829621,0.175426324417616,0.0154925531290998,0,0.0178894980130789,0.0854267817942394,0.119953662019509,0.114882374505365,0.0126494479745792,0,0,0.0523689430561941,0.121126429194016,0.123357324714738,0.196662269070363
"Otu00025",0.333203606693219,3.2460531160951e-06,9.02656456575749e-05,0.577329218424133,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified",0.0044721508622536,0,0,0,0.200898145167558,0.196662269070363,0.198894172084961,0.0544327580843896,0.0178894980130789,0.0872887836830464,0.147984442143603,0.256577466726618,0.236022799210658,0.240729762525264,0.0506180552853129,0,0.0349356044230547,0.043602804430478,0.0204953363762286,0.0293299615832089,0.0256932919481349,0,0.0236665283589545,0.142751693622581,0.150703073401338,0.159291828473869,0,0.0141426070706832,0.00632459748479786,0.0672816958626312,0.156912106149018,0.153507377261298,0.152044706736268
"Otu00027",0.0599834920038476,0.000416580854278512,0.00216747331699797,0.217322389877814,"Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa","DMI_ge",0,0.0236665283589545,0.0915609139665215,0.12595121483476,0.14667596902443,0.151106775716855,0.0620074615771933,0.0244973475791731,0.119447591254284,0.105743151455967,0.10791261702173,0.0727277048839237,0.0697702921830911,0.0656214713878239,0,0.0989541250283905,0.0889993900674082,0.024902372893354,0,0,0,0.269482843518665,0.303677835881231,0.161952187902482,0.119953662019509,0.0699139389441653,0.0154925531290998,0.0154925531290998,0.148941438970573,0.204699778069589,0.078182119723367,0.0971061372468437,0.0438318384264956
"Otu00032",0.32591580628028,0.000827515412653633,0.00381760443704209,0.572420654685162,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcaceae_unclassified",0.140605620709136,0.0928696238764644,0.0843615270952879,0.0843615270952879,0.0374253099064661,0.0395071117091088,0.0148329408825957,0.10205936978509,0.186387876605859,0.128886695411621,0.106313302017782,0.0668329735274883,0.0581705682719407,0.058855738153703,0.149077666129301,0.0732775818660881,0.120205913762673,0.0900103127622477,0.103431597553537,0.115145526989822,0.210305044782778,0.0475573820604094,0.0569517801235477,0.0214492552468059,0.0223625435843667,0.0148329408825957,0.049618744953486,0.0897866363925482,0.140100267512798,0.0942671251690777,0.0256932919481349,0.0189748045654315,0.0148329408825957
"Otu00040",0.168304683278841,6.43510683332271e-05,0.000454397339659113,0.385651790824365,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",0.010954670250958,0,0,0,0.101067961893439,0.0924354226265277,0.130368979703146,0.0431410981008142,0.0161252143073659,0.0456228422534398,0.0774077405521277,0.145356060456166,0.134569866437276,0.165435104811726,0.0204953363762286,0,0,0,0,0,0.0204953363762286,0,0,0.060700271944094,0.0739592201087309,0.0760997410666006,0.0154925531290998,0,0,0.0939464484352384,0.170171835520817,0.147915855305759,0.198894172084961
"Otu00047",0.241356903317877,2.80683020204798e-05,0.000239386230447247,0.475837541583963,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0,0,0,0,0.146814236218155,0.129824799671451,0.136585957634501,0.0417254135699873,0.0134168103898401,0.0363398019976787,0.0675791987689506,0.101861849502356,0.115057875185153,0.106786137091713,0.0389970608926553,0,0.105456937619171,0.0659264219165349,0.0232399919966277,0.0240855178070319,0.0148329408825957,0,0.0402600988152693,0.148052998140804,0.144586553111524,0.145913225086398,0,0.00632459748479786,0,0.0600360584452784,0.098341938092522,0.0997646069158556,0.108657215768125
