OTU,Kingdom,Phylum,Class,Order,Family,Genus,OUT_genus,mean_relabund,Gut_SubSection
Otu00003,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrionaceae_unclassified,Otu00003 Vibrionaceae_unclassified,0.105245,GI_1
Otu00004,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified,Otu00004 Pasteurellaceae_unclassified,0.06658,GI_1
Otu00005,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Otu00005 Turicibacter,0.045915,GI_1
Otu00015,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,Otu00015 Peptostreptococcaceae_unclassified,0.17421,GI_1
Otu00019,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Otu00019 Desulfovibrio,0.004845,GI_1
Otu00025,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00025 Ruminococcaceae_unclassified,0.001385,GI_1
Otu00027,Bacteria,Tenericutes,Mollicutes,DMI,DMI_fa,DMI_ge,Otu00027 DMI_ge,0.00021,GI_1
Otu00032,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,Otu00032 Peptostreptococcaceae_unclassified,0.013635,GI_1
Otu00040,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Otu00040 Akkermansia,0.00066,GI_1
Otu00047,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00047 Alistipes,0.000815,GI_1
Otu00057,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Otu00057 Akkermansia,0.00042,GI_1
Otu00058,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00058 Alistipes,0,GI_1
Otu00059,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Otu00059 Bacteria_unclassified,0.000095,GI_1
Otu00061,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00061 Ruminococcaceae_unclassified,0.000875,GI_1
Otu00062,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,Clostridiales_vadinBB60_group_ge,Otu00062 Clostridiales_vadinBB60_group_ge,0.000085,GI_1
Otu00063,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00063 Lachnospiraceae_unclassified,0.0013,GI_1
Otu00069,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,Otu00069 Ruminiclostridium_5,0.000325,GI_1
Otu00072,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00072 Lachnospiraceae_unclassified,0.001125,GI_1
Otu00079,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_ge,Otu00079 Ruminococcaceae_ge,0.000635,GI_1
Otu00081,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridiaceae_1_unclassified,Otu00081 Clostridiaceae_1_unclassified,0.002,GI_1
Otu00082,Bacteria,Tenericutes,Mollicutes,DMI,DMI_fa,DMI_ge,Otu00082 DMI_ge,0,GI_1
Otu00083,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00083 Alistipes,0,GI_1
Otu00087,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallaceae_ge,Otu00087 Victivallaceae_ge,0.00137,GI_1
