OTU,F4_GI_1,F4_GI_2,F4_GI_3,F4_GI_4,F4_HG_1,F4_HG_2,F4_HG_3,F5_GI_1,F5_GI_2,F5_GI_3,F5_GI_4,F5_HG_1,F5_HG_2,F5_HG_3,F6_GI_1,F6_GI_3,F6_GI_4,F6_HG_1,F6_HG_2,F6_HG_3,F7_GI_2,F7_GI_3,F7_GI_4,F7_HG_1,F7_HG_2,F7_HG_3,F8_GI_1,F8_GI_2,F8_GI_3,F8_GI_4,F8_HG_1,F8_HG_2,F8_HG_3,Species,Gut_SubSection,Gut_SubSection.padjust,Species.padjust,Kingdom,Phylum,Class,Order,Family,Genus,Family_OTU
Otu00003,-0.057513193,0.194815907,-0.258955925,-0.49320144,-0.654692065,-0.663313309,-0.694433898,1.34417496,2.726307608,2.109362957,2.730723367,0.750991299,0.764238577,0.296168096,-0.559017281,-0.48079526,-0.581516626,-0.672144828,-0.708311999,-0.712517484,-0.659107824,-0.709783918,-0.700742126,-0.709994193,-0.712517484,-0.704947611,0.848348277,0.820171528,0.287546852,-0.455141801,-0.515490511,-0.538830953,-0.629879703,0.482227194,6.00E-05,0.000432758,0.714563637,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrionaceae_unclassified,Vibrionaceae Otu00003
Otu00004,3.665466522,-0.002499059,-0.258787211,-0.270840367,-0.275281003,-0.275281003,-0.257518458,4.066392542,-0.262593471,-0.275281003,-0.275281003,-0.272743497,-0.269571614,-0.275281003,-0.110343084,-0.275281003,-0.275281003,-0.275281003,-0.275281003,-0.275281003,-0.216283978,-0.24039029,-0.183296394,-0.211843342,-0.242293419,-0.254980952,-0.275281003,-0.275281003,-0.275281003,-0.275281003,-0.274646627,-0.27401225,-0.275281003,0.65278703,0.002140557,0.008081226,0.805220366,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified,Pasteurellaceae Otu00004
Otu00005,0.106990579,0.139484906,0.833058256,1.089402388,-0.199539235,-0.143215736,-0.900694595,-0.544340146,1.095540205,-0.108916169,-0.133467438,-0.157296611,-0.264166841,-0.052953717,0.073774156,0.342032875,-0.347207898,-0.698507673,-0.734251433,-0.774327769,0.266573828,-0.888057912,-0.863145595,-0.971098969,-0.983374604,-0.983735652,-0.289079158,3.860807403,1.999604582,1.328777261,-0.164156524,-0.357678292,-0.576834473,0.095706487,0.00042035,0.002170764,0.281134099,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Erysipelotrichaceae Otu00005
Otu00015,0.013925899,0.355871622,-0.018254504,0.094492664,-0.311350838,-0.336817344,-0.416921081,3.121071158,-0.224996231,-0.423171951,-0.432664012,-0.427339197,-0.42687617,-0.422245896,-0.452111162,-0.452111162,-0.452111162,-0.452111162,-0.452111162,-0.452111162,-0.185407389,-0.163413589,-0.329640419,-0.410207184,-0.427570711,-0.439377909,3.575069507,2.366105009,-0.252777874,-0.406502965,-0.286810386,-0.101367919,-0.370155315,0.221276298,0.006040838,0.01926387,0.454572444,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,Peptostreptococcaceae Otu00015
Otu00019,-0.625912855,-0.628427785,-0.628427785,-0.628427785,-0.179931846,-0.054185321,1.531897516,-0.615853133,-0.614176513,-0.545435079,-0.275499205,0.267725783,0.453830641,0.555266171,0.162098702,-0.623397924,-0.404598971,1.529382585,4.397241668,0.648318599,-0.618368063,-0.628427785,-0.615014823,-0.323282885,-0.028197706,-0.077658005,-0.621721304,-0.628427785,-0.628427785,-0.513579293,-0.016461363,0.006173011,0.971906324,0.061139745,1.94E-06,7.05E-05,0.218086099,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrionaceae Otu00019
Otu00025,-0.751165359,-0.752205667,-0.752205667,-0.752205667,1.31904738,1.233742131,1.278475371,-0.598240097,-0.735560741,-0.356888662,0.37860903,2.5975858,2.091996156,2.20434941,-0.619046255,-0.752205667,-0.688746885,-0.653376416,-0.730359201,-0.707472427,-0.717875506,-0.752205667,-0.723077046,0.300585937,0.420221346,0.556501682,-0.752205667,-0.741802588,-0.750125051,-0.51709608,0.51801029,0.463914278,0.441027504,0.333203607,3.25E-06,9.03E-05,0.577329218,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Ruminococcaceae Otu00025
Otu00027,-0.65476851,-0.626599867,-0.234250918,0.138983594,0.419663996,0.485055487,-0.461612104,-0.624587821,0.059507781,-0.094413729,-0.071275201,-0.389178452,-0.410304934,-0.438473576,-0.65476851,-0.163829312,-0.257389446,-0.623581798,-0.65476851,-0.65476851,-0.65476851,2.910576808,3.843160078,0.653061319,0.065543919,-0.409298911,-0.642696234,-0.642696234,0.452862753,1.423674895,-0.347931511,-0.181937725,-0.558190307,0.059983492,0.000416581,0.002167473,0.21732239,Bacteria,Tenericutes,Mollicutes,DMI,DMI_fa,DMI_ge,DMI_fa Otu00027
Otu00032,1.073724065,-0.02943203,-0.179317369,-0.179317369,-0.748881657,-0.732893888,-0.866791457,0.148431905,2.542600387,0.76196256,0.236364638,-0.443115566,-0.55103301,-0.543039125,1.315539078,-0.353184362,0.548126143,-0.081392281,0.176410502,0.430216343,3.465894075,-0.662947396,-0.565022308,-0.842809803,-0.838812861,-0.866791457,-0.642962684,-0.085389223,1.059734766,-0.003451905,-0.822825091,-0.852802159,-0.866791457,0.325915806,0.000827515,0.003817604,0.572420655,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,Peptostreptococcaceae Otu00032
Otu00040,-0.650875249,-0.662470831,-0.662470831,-0.662470831,0.321221049,0.160815497,0.970573647,-0.482739309,-0.63734707,-0.461480742,-0.084624324,1.364823438,1.076866482,1.958130721,-0.621886294,-0.662470831,-0.662470831,-0.662470831,-0.662470831,-0.662470831,-0.621886294,-0.662470831,-0.662470831,-0.306872981,-0.134871846,-0.103950294,-0.639279667,-0.662470831,-0.662470831,0.187871855,2.108873289,1.436329527,3.109958542,0.168304683,6.44E-05,0.000454397,0.385651791,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansiaceae Otu00040
Otu00047,-0.852393009,-0.852393009,-0.852393009,-0.852393009,1.910158359,1.311175258,1.540957569,-0.627774347,-0.829156596,-0.681992644,-0.263737204,0.482409848,0.849028815,0.614082857,-0.656174407,-0.852393009,0.577937325,-0.292137264,-0.782683769,-0.777520122,-0.823992948,-0.852393009,-0.643265289,1.956631186,1.82754,1.876594651,-0.852393009,-0.847229362,-0.852393009,-0.387664742,0.392046018,0.42819155,0.665719331,0.241356903,2.81E-05,0.000239386,0.475837542,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Rikenellaceae Otu00047
