"","OTU","Sample","Abundance","X","SampleCode","Sample_Type_Broad","RobCode","Fish_Number","Species","Gut_Section","Gut_SubSection","Culture_Media","Ranked_Gut_SubSection_Distance_from_Stomach","Kingdom","Phylum","Class","Order","Family"
"11","Otu00002","F7_GI_2",0.76414,39,"F7_GI_2","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_2","Fish_Gut",3,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"1","Otu00002","F4_GI_1",0.49764,12,"F4_GI_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"5","Otu00002","F8_GI_1",0.49192,47,"F8_GI_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"83","Otu00005","F6_GI_3",0.47792,31,"F6_GI_3","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_3","Fish_Gut",4,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"17","Otu00002","F5_GI_2",0.4508,22,"F5_GI_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"6","Otu00002","F5_GI_4",0.44554,24,"F5_GI_4","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"33","Otu00002","F4_GI_3",0.39452,14,"F4_GI_3","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"166","Otu00015","F5_GI_1",0.37568,21,"F5_GI_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"14","Otu00002","F8_GI_2",0.3573,48,"F8_GI_2","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"174","Otu00015","F8_GI_1",0.35646,47,"F8_GI_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"26","Otu00002","F5_GI_3",0.34332,23,"F5_GI_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
