"","OTU","Sample","Abundance","Gut_Subsection","Kingdom","Phylum","Class","Order","Family"
"4","Otu00002","GI_2",0.478675,"GI_2","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"11","Otu00004","ST",0.390266666666667,"ST","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"1","Otu00002","GI_1",0.34231,"GI_1","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"45","Otu00015","GI_1",0.26643,"GI_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"5","Otu00002","GI_3",0.218704,"GI_3","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"3","Otu00002","GI_4",0.216576,"GI_4","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"126","Otu00047","HG_1",0.214172,"HG_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"124","Otu00047","HG_3",0.202772,"HG_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"128","Otu00047","HG_2",0.196196,"HG_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"2","Otu00002","ST",0.195553333333333,"ST","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"20","Otu00005","GI_3",0.162552,"GI_3","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"6","Otu00002","HG_2",0.153504,"HG_2","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"90","Otu00025","HG_3",0.139772,"HG_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"19","Otu00005","GI_2",0.1333,"GI_2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"8","Otu00002","HG_1",0.131896,"HG_1","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"48","Otu00015","GI_2",0.127745,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"91","Otu00025","HG_1",0.122748,"HG_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"96","Otu00025","HG_2",0.121096,"HG_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"7","Otu00002","HG_3",0.119876,"HG_3","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"51","Otu00016","GI_3",0.115396,"GI_3","Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"73","Otu00021","GI_4",0.113228,"GI_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"50","Otu00016","GI_2",0.097635,"GI_2","Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"94","Otu00025","GI_4",0.096964,"GI_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"78","Otu00021","HG_3",0.091604,"HG_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"80","Otu00021","HG_1",0.090928,"HG_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"127","Otu00047","GI_4",0.089232,"GI_4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"53","Otu00016","GI_4",0.088168,"GI_4","Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"99","Otu00027","GI_4",0.076744,"GI_4","Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"22","Otu00005","GI_4",0.076336,"GI_4","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"75","Otu00021","GI_3",0.072192,"GI_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"74","Otu00021","HG_2",0.069288,"HG_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"89","Otu00025","GI_3",0.067272,"GI_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"15","Otu00004","GI_1",0.06658,"GI_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"98","Otu00027","GI_3",0.065308,"GI_3","Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"106","Otu00040","HG_3",0.055244,"HG_3","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"17","Otu00005","GI_1",0.051875,"GI_1","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"66","Otu00019","GI_3",0.051376,"GI_3","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"71","Otu00019","HG_2",0.050368,"HG_2","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"113","Otu00042","GI_3",0.0468,"GI_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"65","Otu00019","HG_3",0.04644,"HG_3","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"49","Otu00016","GI_1",0.045885,"GI_1","Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"68","Otu00019","GI_4",0.04444,"GI_4","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"23","Otu00005","HG_1",0.043408,"HG_1","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"41","Otu00015","GI_3",0.042176,"GI_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"82","Otu00024","GI_1",0.041575,"GI_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"63","Otu00017","HG_2",0.038468,"HG_2","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"24","Otu00005","HG_2",0.038436,"HG_2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"109","Otu00040","HG_2",0.038332,"HG_2","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"115","Otu00042","GI_4",0.03832,"GI_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"112","Otu00040","HG_1",0.037112,"HG_1","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"132","Otu00059","HG_1",0.032416,"HG_1","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"69","Otu00019","HG_1",0.0319,"HG_1","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"47","Otu00015","GI_4",0.03174,"GI_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"87","Otu00024","HG_3",0.030196,"HG_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"79","Otu00021","GI_2",0.02998,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"18","Otu00005","HG_3",0.028812,"HG_3","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"114","Otu00042","ST",0.02834,"ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"143","Otu00062","HG_2",0.027828,"HG_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"137","Otu00062","HG_3",0.02782,"HG_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"85","Otu00024","HG_1",0.02752,"HG_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"144","Otu00062","HG_1",0.027428,"HG_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
