"","Group.1","x"
"1","GI_1_Akkermansiaceae",0.00012275
"2","GI_1_Alphaproteobacteria_unclassified",2.63636363636364e-05
"3","GI_1_Arcobacteraceae",2e-04
"4","GI_1_Bacteria_unclassified",0.000166363636363636
"5","GI_1_Bacteroidales_unclassified",0.000143809523809524
"6","GI_1_Bacteroidia_unclassified",1e-05
"7","GI_1_Bradymonadales_fa",0.00014
"8","GI_1_Brevinemataceae",0.00382375
"9","GI_1_Burkholderiaceae",0.000945
"10","GI_1_Cellvibrionaceae",0
"11","GI_1_Christensenellaceae",0.00057
"12","GI_1_Clostridiaceae_1",0.00144388888888889
"13","GI_1_Clostridiales_unclassified",2.61538461538462e-05
"14","GI_1_Clostridiales_vadinBB60_group",3.77777777777778e-05
"15","GI_1_Cyclobacteriaceae",0
"16","GI_1_Desulfovibrionaceae",0.000277954545454545
"17","GI_1_DMI_fa",3.63636363636364e-05
"18","GI_1_Eggerthellaceae",0
"19","GI_1_Endozoicomonadaceae",0.0097625
"20","GI_1_Erysipelotrichaceae",0.00399038461538462
"21","GI_1_Family_XIII",0
"22","GI_1_Firmicutes_unclassified",0.00013
"23","GI_1_Flavobacteriaceae",0
"24","GI_1_Fusobacteriaceae",0.002995
"25","GI_1_Gastranaerophilales_fa",3.88888888888889e-06
"26","GI_1_Gf10_symbiont_group_fa",0.000403
"27","GI_1_Hyphomonadaceae",0
"28","GI_1_Kiritimatiellaceae",0.00056
"29","GI_1_Lachnospiraceae",0.000422222222222222
"30","GI_1_Marinifilaceae",0.00036
"31","GI_1_Mollicutes_RF39_fa",2.5625e-05
"32","GI_1_Mollicutes_unclassified",0
"33","GI_1_Mycoplasmataceae",0.015425
"34","GI_1_Nostocaceae",8e-05
"35","GI_1_Other",0.031135
"36","GI_1_Oxyphotobacteria_unclassified",0
"37","GI_1_Paludibacteraceae",0
"38","GI_1_Parabasalia_unclassified",0.000556666666666667
"39","GI_1_Paracaedibacteraceae",0.00011875
"40","GI_1_Pasteurellaceae",0.06658
"41","GI_1_Peptococcaceae",9.83333333333333e-05
"42","GI_1_Peptostreptococcaceae",0.0380614285714286
