"","F1_GI","F1_HG","F2_GI","F2_HG","F3_GI","F3_HG","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F6_GI_1","F6_GI_3","F6_GI_4","F6_HG_1","F6_HG_2","F6_HG_3","F7_GI_2","F7_GI_3","F7_GI_4","F7_HG_1","F7_HG_2","F7_HG_3","F8_GI_1","F8_GI_2","F8_GI_3","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3"
"Otu00002",0.00104,0.0476,0.08754,0.06532,0.26204,0.09108,0.42558,0.238,0.34232,0.27864,0.2564,0.33414,0.2909,0.0759,0.10962,0.06544,0.09834,0.057,0.0442,0.04058,0.0778,0.00416,0.00738,0.02106,0.06894,0.03932,0.75448,0.11494,0.10884,0.04364,0.02366,0.01076,0.33468,0.20292,0.05996,0.07708,0.06472,0.08686,0.06808
"Otu00003",0.48398,0,0.18022,0.00034,0.0305,6e-04,0.0623,0.0863,0.04314,0.02086,0.0055,0.00468,0.00172,0.19562,0.32708,0.2684,0.3275,0.1392,0.14046,0.09594,0.0146,0.02204,0.01246,0.00384,4e-04,0,0.00508,0.00026,0.00112,0.00024,0,0.00072,0.14846,0.14578,0.09512,0.02448,0.01874,0.01652,0.00786
"Otu00004",0,0.00056,0.00018,0,0,0.00028,0.12424,0.0086,0.00052,0.00014,0,0,0.00056,0.13688,4e-04,0,0,8e-05,0.00018,0,0.0052,0,0,0,0,0,0.00186,0.0011,0.0029,0.002,0.00104,0.00064,0,0,0,0,2e-05,4e-05,0
"Otu00005",0.00182,0.00036,0.0217,0.0129,0.0015,0.01012,0.06088,0.06268,0.1011,0.1153,0.0439,0.04702,0.00506,0.0248,0.11564,0.04892,0.04756,0.04624,0.04032,0.05202,0.05904,0.0739,0.03572,0.01626,0.01428,0.01206,0.06972,0.00576,0.00714,0.00116,0.00048,0.00046,0.03894,0.26882,0.16572,0.12856,0.04586,0.03514,0.023
"Otu00007",0,0,0.00046,0,0,0,0,0,0,0,7e-04,0,0,0.0027,0,0,0,0,0,0,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0.00058,0,0,0,0,0
"Otu00009",0.24132,0,0.6215,0,0.0076,0,0.00022,0,0,0,0,0,0,0.00078,3e-04,0.00146,0.00492,0.0157,0.01404,0.01794,0.00176,0.01718,0.00222,0.00104,0,0,0.00372,0,0.00018,0,0,0.00024,0.0022,0,0,0,0.00012,0.00026,0.00014
"Otu00012",0.0014,0,0,0,0.08334,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00134,0.04842,0.00464,0.00226,8e-05,0,0,0,0,0,0,0,0,0,0,0,4e-05,0,0.00068
"Otu00015",0,0.00262,0.00014,0.00342,0,0,0.04026,0.0698,0.03748,0.04722,0.01216,0.00996,0.00304,0.30868,0.01962,0.0025,0.00168,0.00214,0.00218,0.00258,0,0,0,0,0,0,0.02304,0.02494,0.01058,0.00362,0.00212,0.0011,0.3479,0.24346,0.01722,0.00394,0.01428,0.0303,0.00708
"Otu00016",2e-04,0,0,0,0,0,0.11316,0.18932,0.17816,0.16572,0.0157,0.01942,0.00462,0,0.00492,0.00576,0.00148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1005,0.05732,0.00296,0.00406,0.00086
"Otu00017",0.00182,0,0.00028,0,0.5762,0.1996,0,0,0,0,0.00036,0,0.00074,0.00086,0,0,0,0,0,0,0.04384,0.00044,0.00252,0.0397,0.17924,0.11348,0,0,0.00028,0.01262,0.00604,0.00396,0.00026,0,0,6e-05,0.00016,0,0.00012
"Otu00018",0.01304,0,0.00048,0,0.00806,0.00052,0,0,0,0,0,0,0,9e-04,3e-04,0.00156,0.00664,0.01498,0.01636,0.01204,0.00958,0.02266,0.08736,0.00262,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0.00028,4e-04
"Otu00019",0,0.01186,0,0.03664,0.00052,0.03672,6e-05,0,0,0,0.0107,0.0137,0.05154,3e-04,0.00034,0.00198,0.00842,0.02138,0.02582,0.02824,0.01886,0.00012,0.00534,0.05148,0.1199,0.03046,0.00024,0,0.00032,0.00728,0.01432,0.01314,0.00016,0,0,0.00274,0.0146,0.01514,0.03818
"Otu00021",0.00292,0.00232,0.00442,1e-04,0.0013,0.10484,0.00126,0.00068,0.00116,0.00156,0.0011,0.00104,8e-05,0.00078,0.00044,0.00056,0.00058,0.00102,0.00042,0.00074,0.03812,0.0065,0.13158,0.0873,0.03984,0.06104,0.00864,0.00106,0.00064,0.00014,2e-05,8e-05,0.00214,0.00136,0.00524,0.00432,0,0,0
"Otu00023",0.11686,0,0.00582,0,0,0,0.00022,2e-04,0,0,0,0,0,0.00032,0,6e-05,3e-04,0.00084,7e-04,0.00046,0,0.01212,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0
"Otu00024",0,4e-04,0.00018,0,0.00168,0.1287,0.00036,0,0,0,0,0,0,0.00074,0.00016,0.00052,0.00056,0.00086,6e-04,0.00062,0.07988,0.04446,0.0562,0.08768,0.0621,0.08266,0.00036,0,0,0,0,0,1e-04,0,0,0,0,0,6e-05
"Otu00025",0,0.05626,0,0.02696,0,0.00094,2e-05,0,0,0,0.03982,0.03818,0.03904,0.00296,0.00032,0.0076,0.02174,0.0644,0.05468,0.05684,0.00256,0,0.00122,0.0019,0.00042,0.00086,0.00066,0,0.00056,0.02024,0.02254,0.02516,0,2e-04,4e-05,0.00452,0.02442,0.02338,0.02294
"Otu00027",0,0.00218,0,0.00164,0,0.00016,0,0.00056,0.00836,0.01578,0.02136,0.02266,0.00384,6e-04,0.0142,0.01114,0.0116,0.00528,0.00486,0.0043,0,0.00976,0.0079,0.00062,0,0,0,0.07088,0.08942,0.026,0.01432,0.00488,0.00024,0.00024,0.02202,0.04132,0.0061,0.0094,0.00192
"Otu00028",0,0,0,0,0,0.05022,0,0,6e-05,0,0,0,0,0.00096,0,0,0.00022,0,0.00054,0.00042,0.08346,0.02266,0.04068,0.04816,0.04324,0.06492,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00029",0,0,0,0.0045,0,0,0,0,0,0,0,0,0,0,0,0.00022,0.00038,0.00134,0.00134,0.00182,0,0,0,0,0,0,0,0,0.00026,0.0166,0.02808,0.03464,0,0,0,0,0,0,0.00096
"Otu00032",0.00182,0,0.00228,0.00578,0.00054,0.01064,0.01964,0.0086,0.0071,0.0071,0.0014,0.00156,0.00022,0.01038,0.03434,0.01652,0.01126,0.00446,0.00338,0.00346,0.02206,0.00536,0.01438,0.00808,0.01066,0.0132,0.04358,0.00226,0.00324,0.00046,5e-04,0.00022,0.00246,0.00804,0.0195,0.00886,0.00066,0.00036,0.00022
"Otu00033",0,0.00204,0,0,0,0,0.01652,0.03006,0.03002,0.03694,0.0057,0.0053,0.00096,0.01498,0.05908,0.06706,0.02802,0.0029,0.0021,0.00136,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02448,0.04626,0.00128,0.00166,0.00028
"Otu00034",0,0,2e-05,0,0,0.00176,0,0,0,0,0,0,0,0.00014,0,0,2e-05,0.00012,1e-04,0.00024,0.014,0.39268,0.0106,0.017,0.01668,0.01258,0.00016,0,0,0,0,0,0,2e-05,0,2e-05,4e-05,0,6e-05
"Otu00040",0.00028,0.03826,0,0.05474,0,0,0.00012,0,0,0,0.01018,0.00852,0.0169,0.00186,0.00026,0.00208,0.00598,0.02098,0.018,0.02712,0.00042,0,0,0,0,0,0.00042,0,0,0.00368,0.00546,0.00578,0.00024,0,0,0.0088,0.02868,0.02172,0.03904
"Otu00041",0,0,0,9e-04,0,0,8e-04,0.00102,0.00162,0.00376,0.0012,0.00158,0,4e-04,0.00302,0.00322,0.00198,0.00028,0.00026,0.00014,0,0.00106,0,0,0,0,0,0.16612,0.11822,0.01104,0.00402,0.00102,0,0,0,0.00756,0.00042,0.00036,0.00018
"Otu00042",0.001,0,0.00258,0.00174,0.00024,0.01704,0.00276,0.00106,0.0033,0.00562,0.0022,0.0034,0,0.00024,0.00196,0.00338,0.00486,0.00852,0.00664,0.00854,0.02302,0.00956,0.06016,0.01466,0.00808,0.01452,0.00904,0.00138,0.0029,1e-04,1e-04,0,0.0029,0.00734,0.0348,0.01188,0.00054,0.00036,6e-05
"Otu00045",0.00042,0,0.00076,0,0.00066,0.01448,0.00456,0.00264,0.003,0.00404,0.00028,0.00054,0,0.00208,0.00744,0.00232,0.00204,0.00072,0.00072,0.00088,0.04334,0.00076,0.0092,0.02116,0.01934,0.02964,0.00148,8e-05,0.00024,0,0,0,0,0.00044,0.00296,0.00052,0,0,0
"Otu00047",0,0.0402,0,0.01636,0,0.00036,0,0,0,0,0.0214,0.01676,0.01854,0.00174,0.00018,0.00132,0.00456,0.01034,0.01318,0.01136,0.00152,0,0.01108,0.00434,0.00054,0.00058,0.00022,0,0.00162,0.02176,0.02076,0.02114,0,4e-05,0,0.0036,0.00964,0.00992,0.01176
"Otu00049",4e-04,0,0.00056,0.00192,0.00024,0.03158,2e-04,0.00016,0.00034,0.00116,0.00144,0.00218,0,0.00052,0.00094,0.00104,0.00056,0,0,0,0.0079,0.00876,0.06924,0.02684,0.01144,0.01408,0.00386,0.0184,0.01714,0.01248,0.01144,0.00616,0,0.0098,0.00928,0.00598,0.0032,0.00224,0.00322
"Otu00056",0,0,0,0,0,0,0.0304,0.04644,0.04552,0.02504,0.00058,0.00106,0,0.00274,0.03278,0.01308,0.01638,0.00758,0.006,0.00616,0,0,0,0,0,0,0.00012,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00057",0,0,0,0.00752,0,0,0,0,0,0,0.0011,0.00114,0.0022,0.00168,0,7e-04,0.00194,0.00602,0.0059,0.00852,0,0,0,0,0,0,0,0,0.00128,0.02634,0.0405,0.04514,0,0.00012,0,0.00146,0.005,0.00384,0.0084
