"","OTU","Sample","Abundance","Species","Gut_Section","Species_Gut_Section","Kingdom","Phylum","Class","Order","Family"
"10","Otu00004","Kyphosus cinerascens_ST",0.46626,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"17","Otu00004","Kyphosus hawaiiensis_ST",0.40253,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"18","Otu00004","Kyphosus vaigiensis_ST",0.35676,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"7","Otu00002","Kyphosus vaigiensis_GI",0.34804,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"6","Otu00002","Kyphosus hawaiiensis_GI",0.329913333333333,"Kyphosus hawaiiensis","GI","Kyphosus hawaiiensis_GI","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"129","Otu00047","Kyphosus hawaiiensis_HG",0.266833333333333,"Kyphosus hawaiiensis","HG","Kyphosus hawaiiensis_HG","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"3","Otu00002","Kyphosus vaigiensis_ST",0.224013333333333,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"134","Otu00047","Kyphosus vaigiensis_HG",0.223537777777778,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"24","Otu00005","Kyphosus cinerascens_GI",0.205993333333333,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"2","Otu00002","Kyphosus vaigiensis_HG",0.200995555555556,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"9","Otu00002","Kyphosus hawaiiensis_ST",0.18757,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"112","Otu00027","Kyphosus hawaiiensis_GI",0.15326,"Kyphosus hawaiiensis","GI","Kyphosus hawaiiensis_GI","Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"106","Otu00025","Kyphosus vaigiensis_HG",0.147928888888889,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"103","Otu00025","Kyphosus hawaiiensis_HG",0.140353333333333,"Kyphosus hawaiiensis","HG","Kyphosus hawaiiensis_HG","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
