Tree#,Groups,WScore
1,BLANK2_1_A-F1_GI,0.671344
1,BLANK2_1_A-F1_HG,0.683653
1,F1_GI-F1_HG,0.908453
1,BLANK2_1_A-F1_PC,0.665832
1,F1_GI-F1_PC,0.797231
1,F1_HG-F1_PC,0.791326
1,BLANK2_1_A-F1_STOM,0.703464
1,F1_GI-F1_STOM,0.625456
1,F1_HG-F1_STOM,0.86373
1,F1_PC-F1_STOM,0.794001
1,BLANK2_1_A-F2_GI,0.642495
1,F1_GI-F2_GI,0.166326
1,F1_HG-F2_GI,0.889781
1,F1_PC-F2_GI,0.775375
1,F1_STOM-F2_GI,0.598984
1,BLANK2_1_A-F2_HG,0.661336
1,F1_GI-F2_HG,0.893828
1,F1_HG-F2_HG,0.237757
1,F1_PC-F2_HG,0.770981
1,F1_STOM-F2_HG,0.851721
1,F2_GI-F2_HG,0.860564
1,BLANK2_1_A-F2_PC,0.679806
1,F1_GI-F2_PC,0.83889
1,F1_HG-F2_PC,0.737014
1,F1_PC-F2_PC,0.163747
1,F1_STOM-F2_PC,0.796514
1,F2_GI-F2_PC,0.79184
1,F2_HG-F2_PC,0.716979
1,BLANK2_1_A-F3_GI,0.672038
1,F1_GI-F3_GI,0.544595
1,F1_HG-F3_GI,0.895489
1,F1_PC-F3_GI,0.799448
1,F1_STOM-F3_GI,0.696791
1,F2_GI-F3_GI,0.530202
1,F2_HG-F3_GI,0.87659
1,F2_PC-F3_GI,0.875233
1,BLANK2_1_A-F3_HG,0.616112
1,F1_GI-F3_HG,0.819624
1,F1_HG-F3_HG,0.640946
1,F1_PC-F3_HG,0.580442
1,F1_STOM-F3_HG,0.789106
1,F2_GI-F3_HG,0.782586
1,F2_HG-F3_HG,0.581129
1,F2_PC-F3_HG,0.583707
1,F3_GI-F3_HG,0.715114
1,BLANK2_1_A-F3_PC,0.563339
1,F1_GI-F3_PC,0.393922
1,F1_HG-F3_PC,0.828202
1,F1_PC-F3_PC,0.631564
1,F1_STOM-F3_PC,0.599404
1,F2_GI-F3_PC,0.441135
1,F2_HG-F3_PC,0.792156
1,F2_PC-F3_PC,0.649509
1,F3_GI-F3_PC,0.528836
1,F3_HG-F3_PC,0.601847
1,BLANK2_1_A-F3_STOM,0.679014
1,F1_GI-F3_STOM,0.567496
1,F1_HG-F3_STOM,0.880232
1,F1_PC-F3_STOM,0.818919
1,F1_STOM-F3_STOM,0.383822
1,F2_GI-F3_STOM,0.559898
1,F2_HG-F3_STOM,0.867679
1,F2_PC-F3_STOM,0.824905
1,F3_GI-F3_STOM,0.618747
1,F3_HG-F3_STOM,0.799636
1,F3_PC-F3_STOM,0.526909
1,BLANK2_1_A-F4_GI_1,0.603835
1,F1_GI-F4_GI_1,0.526584
1,F1_HG-F4_GI_1,0.866136
1,F1_PC-F4_GI_1,0.699973
1,F1_STOM-F4_GI_1,0.568193
1,F2_GI-F4_GI_1,0.487437
1,F2_HG-F4_GI_1,0.836496
1,F2_PC-F4_GI_1,0.715373
1,F3_GI-F4_GI_1,0.545012
1,F3_HG-F4_GI_1,0.747964
