"","F1_STOM","F3_STOM","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F4_STOM","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F5_STOM","F6_GI_1","F6_GI_3","F6_GI_4","F6_HG_1","F6_HG_2","F6_HG_3","F7_GI_2","F7_GI_3","F7_GI_4","F7_HG_1","F7_HG_2","F7_HG_3","F7_STOM","F8_GI_1","F8_GI_2","F8_GI_3","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3","F8_STOM"
"F1_STOM",0,0.383822,0.568193,0.744141,0.737138,0.761596,0.763037,0.732637,0.752501,0.316924,0.593624,0.690297,0.732018,0.661667,0.748243,0.753396,0.771181,0.387255,0.797628,0.819807,0.797889,0.854086,0.801865,0.838833,0.623268,0.805724,0.815626,0.85853,0.872696,0.881975,0.238437,0.658562,0.707509,0.767205,0.805706,0.83244,0.818806,0.843071,0.529095
"F3_STOM",0.383822,0,0.546915,0.709671,0.705157,0.736442,0.751103,0.714137,0.734981,0.491384,0.540465,0.627731,0.678916,0.610714,0.730243,0.736622,0.775208,0.466589,0.795725,0.828914,0.8238,0.869526,0.803421,0.843523,0.614481,0.815074,0.833692,0.874599,0.889941,0.89836,0.435743,0.613669,0.668765,0.767666,0.836927,0.848457,0.833652,0.858422,0.474015
"F4_GI_1",0.568193,0.546915,0,0.315056,0.281799,0.328609,0.594707,0.518541,0.637229,0.552739,0.433803,0.295889,0.407864,0.431293,0.678088,0.696742,0.724444,0.441819,0.705981,0.781698,0.789254,0.833767,0.761634,0.80106,0.331291,0.74854,0.776686,0.830335,0.855513,0.872664,0.590691,0.399834,0.50167,0.462087,0.553837,0.759453,0.73128,0.817584,0.610359
"F4_GI_2",0.744141,0.709671,0.315056,0,0.107563,0.169491,0.591342,0.54558,0.646892,0.73846,0.529504,0.287567,0.269773,0.469466,0.663056,0.681319,0.706962,0.585084,0.693465,0.769874,0.777554,0.814788,0.74526,0.7815,0.551061,0.721381,0.749787,0.765609,0.787638,0.776294,0.773284,0.52584,0.514274,0.303225,0.526169,0.720649,0.712289,0.799611,0.632278
"F4_GI_3",0.737138,0.705157,0.281799,0.107563,0,0.126335,0.566571,0.494604,0.618795,0.723172,0.53969,0.253568,0.269455,0.430781,0.652235,0.672091,0.698828,0.564984,0.69652,0.742672,0.759163,0.799567,0.729395,0.768197,0.499257,0.705764,0.733125,0.749588,0.77378,0.763921,0.76048,0.49369,0.502061,0.305525,0.486254,0.705801,0.696157,0.789217,0.629314
"F4_GI_4",0.761596,0.736442,0.328609,0.169491,0.126335,0,0.504767,0.465504,0.580119,0.748963,0.545291,0.243569,0.258137,0.41211,0.59646,0.619069,0.644959,0.569058,0.659707,0.695924,0.713175,0.759653,0.69593,0.733228,0.547566,0.631989,0.65802,0.693779,0.719958,0.730665,0.788601,0.537689,0.484089,0.290601,0.398766,0.656895,0.646056,0.740694,0.653147
"F4_HG_1",0.763037,0.751103,0.594707,0.591342,0.566571,0.504767,0,0.097176,0.143638,0.764642,0.587718,0.566315,0.525032,0.372569,0.257926,0.246007,0.310298,0.459462,0.58578,0.690969,0.527008,0.5472,0.556259,0.566959,0.624617,0.596736,0.528008,0.354303,0.377144,0.406016,0.801821,0.603942,0.585428,0.594261,0.438497,0.287947,0.262749,0.320084,0.647015
"F4_HG_2",0.732637,0.714137,0.518541,0.54558,0.494604,0.465504,0.097176,0,0.16905,0.733743,0.558432,0.515922,0.478598,0.323061,0.27513,0.26763,0.32159,0.429779,0.588629,0.69758,0.536105,0.569859,0.554719,0.588116,0.545376,0.599934,0.532234,0.42608,0.447291,0.476211,0.772078,0.525681,0.535149,0.595248,0.440429,0.356586,0.332954,0.382105,0.600122
"F4_HG_3",0.752501,0.734981,0.637229,0.646892,0.618795,0.580119,0.143638,0.16905,0,0.753501,0.638816,0.646558,0.601019,0.451552,0.29155,0.272652,0.323042,0.51929,0.63182,0.765052,0.581358,0.551587,0.550695,0.580177,0.630702,0.633981,0.571425,0.354907,0.361482,0.384307,0.791476,0.611914,0.614183,0.692167,0.534906,0.314918,0.290479,0.292578,0.641293
"F4_STOM",0.316924,0.491384,0.552739,0.73846,0.723172,0.748963,0.764642,0.733743,0.753501,0,0.612335,0.695617,0.757749,0.694076,0.791484,0.800723,0.819632,0.45064,0.827186,0.881706,0.86257,0.896449,0.826027,0.872397,0.544687,0.803826,0.824344,0.890476,0.90989,0.921936,0.248758,0.651281,0.708382,0.801594,0.842905,0.862558,0.842355,0.867362,0.673663
